corruption_type,mean,lower,upper,percentile,category,cat_avg_mean,cat_avg_lower,cat_avg_upper
elastic_5,0.021225884597436802,0.017985519327358285,0.024142304609673468,37.89473684210527,Mid-Range,0.026637958465999374,0.025039731180639808,0.028222645174139162
fog_1,0.03511657846798653,0.030612182527611498,0.03944081451082968,67.36842105263158,Highest,0.05499295180253631,0.04919974539754932,0.06070795022268099
fog_2,0.0598762786973314,0.051594483134142215,0.0673435461722948,88.42105263157895,Highest,0.05499295180253631,0.04919974539754932,0.06070795022268099
fog_3,0.07125837487103012,0.06225152599417128,0.0796344063062858,91.57894736842105,Highest,0.05499295180253631,0.04919974539754932,0.06070795022268099
fog_4,0.07728805414678308,0.06708302451365852,0.08694527151721344,95.78947368421052,Highest,0.05499295180253631,0.04919974539754932,0.06070795022268099
fog_5,0.08355881741757304,0.07210758373506357,0.09367431222773744,98.94736842105263,Highest,0.05499295180253631,0.04919974539754932,0.06070795022268099
frost_1,0.03347068133505124,0.03000418867049151,0.03713275424661054,63.1578947368421,Mid-Range,0.026637958465999374,0.025039731180639808,0.028222645174139162
frost_2,0.052232254875349896,0.04603525742939872,0.05791509633025329,84.21052631578947,Highest,0.05499295180253631,0.04919974539754932,0.06070795022268099
frost_3,0.055924222538443355,0.04971783159574201,0.06193655174734965,85.26315789473684,Highest,0.05499295180253631,0.04919974539754932,0.06070795022268099
frost_4,0.0495529823468799,0.04443408334047846,0.054500967941265493,81.05263157894737,Highest,0.05499295180253631,0.04919974539754932,0.06070795022268099
frost_5,0.04902969271964518,0.04388101714690937,0.05435040937646268,80.0,Highest,0.05499295180253631,0.04919974539754932,0.06070795022268099
frosted_glass_blur_1,0.007572413906752942,0.00580179749046749,0.009194212637058018,18.947368421052634,Lowest,0.008366673470654411,0.0066815533598860175,0.01011223400762805
frosted_glass_blur_2,0.00568432979989161,0.004435065945159576,0.006838034006984144,11.578947368421053,Lowest,0.008366673470654411,0.0066815533598860175,0.01011223400762805
frosted_glass_blur_3,0.009070587417664503,0.007927376068240535,0.01010518080009339,21.052631578947366,Lowest,0.008366673470654411,0.0066815533598860175,0.01011223400762805
frosted_glass_blur_4,0.010678430603527456,0.008209178088181326,0.012886857440099635,23.157894736842106,Lowest,0.008366673470654411,0.0066815533598860175,0.01011223400762805
frosted_glass_blur_5,0.007429115556117155,0.006505259112460143,0.00837968153078032,17.894736842105264,Lowest,0.008366673470654411,0.0066815533598860175,0.01011223400762805
gaussian_blur_1,0.00679385456632393,0.005668075548413237,0.007808649847786125,15.789473684210526,Lowest,0.008366673470654411,0.0066815533598860175,0.01011223400762805
gaussian_blur_2,0.024596141764765506,0.0205339217655427,0.02819578491639224,43.15789473684211,Mid-Range,0.026637958465999374,0.025039731180639808,0.028222645174139162
gaussian_blur_3,0.03031633553041654,0.025451568972743862,0.034526966474927416,56.84210526315789,Mid-Range,0.026637958465999374,0.025039731180639808,0.028222645174139162
gaussian_blur_4,0.034727192742418624,0.029001203564170998,0.03927256875506247,66.3157894736842,Highest,0.05499295180253631,0.04919974539754932,0.06070795022268099
gaussian_blur_5,0.04177133598378294,0.03498972507596388,0.04764232162033719,78.94736842105263,Highest,0.05499295180253631,0.04919974539754932,0.06070795022268099
gaussian_noise_1,0.008564877642478545,0.0067677509742929635,0.010229029030628552,20.0,Lowest,0.008366673470654411,0.0066815533598860175,0.01011223400762805
gaussian_noise_2,0.017107511556289496,0.01347000708701934,0.020209377716726554,32.631578947368425,Lowest,0.008366673470654411,0.0066815533598860175,0.01011223400762805
gaussian_noise_3,0.027226136802968988,0.021798181026666665,0.032198120749786785,53.68421052631579,Mid-Range,0.026637958465999374,0.025039731180639808,0.028222645174139162
gaussian_noise_4,0.03300857910287552,0.02630453950511691,0.0393838182543877,62.10526315789474,Mid-Range,0.026637958465999374,0.025039731180639808,0.028222645174139162
gaussian_noise_5,0.038573870604011545,0.03064662431680889,0.04568243111583904,77.89473684210526,Highest,0.05499295180253631,0.04919974539754932,0.06070795022268099
impulse_noise_1,0.0135747974708952,0.010961569526938851,0.015801697861442733,26.31578947368421,Lowest,0.008366673470654411,0.0066815533598860175,0.01011223400762805
impulse_noise_2,0.02579958766190129,0.020675624350489304,0.03071575815873407,46.31578947368421,Mid-Range,0.026637958465999374,0.025039731180639808,0.028222645174139162
impulse_noise_3,0.037235117942698896,0.030392227799576774,0.043276250965358795,70.52631578947368,Highest,0.05499295180253631,0.04919974539754932,0.06070795022268099
impulse_noise_4,0.05718021177170463,0.046717958665118735,0.06655571277777086,87.36842105263159,Highest,0.05499295180253631,0.04919974539754932,0.06070795022268099
impulse_noise_5,0.07486422369700897,0.06155970101675025,0.08786987044447273,93.6842105263158,Highest,0.05499295180253631,0.04919974539754932,0.06070795022268099
jpeg_compression_1,0.0015419544284938106,0.0013537683067982066,0.0017201133821005917,1.0526315789473684,Lowest,0.008366673470654411,0.0066815533598860175,0.01011223400762805
jpeg_compression_2,0.002023017505292983,0.0017893899249921772,0.0022989760144802676,3.1578947368421053,Lowest,0.008366673470654411,0.0066815533598860175,0.01011223400762805
jpeg_compression_3,0.002575100288776353,0.002206100424548318,0.0029616386460559084,4.2105263157894735,Lowest,0.008366673470654411,0.0066815533598860175,0.01011223400762805
jpeg_compression_4,0.0033566549365160662,0.002871074541002376,0.003866847940672153,6.315789473684211,Lowest,0.008366673470654411,0.0066815533598860175,0.01011223400762805
jpeg_compression_5,0.004354737735900432,0.0037087934033149753,0.005064231883563353,8.421052631578947,Lowest,0.008366673470654411,0.0066815533598860175,0.01011223400762805
motion_blur_1,0.01811407462312351,0.014934438304476924,0.02066825840638416,35.78947368421053,Mid-Range,0.026637958465999374,0.025039731180639808,0.028222645174139162
motion_blur_2,0.025896196315446735,0.02207564663668418,0.02969134111392449,48.421052631578945,Mid-Range,0.026637958465999374,0.025039731180639808,0.028222645174139162
