Approach,Model,Corruption Type,Date,Fscore
Baseline,ResNet50,contrast_3,2024-04-12 01:15:33.516695,0.5780236492969888
Baseline,ResNet50,defocus_blur_3,2024-04-12 01:15:35.880718,0.899756681132919
Baseline,ResNet50,elastic_3,2024-04-12 01:15:38.249088,0.8147650359267598
Baseline,ResNet50,fog_3,2024-04-12 01:15:40.610469,0.7847146531417942
Baseline,ResNet50,frost_3,2024-04-12 01:15:42.966112,0.751134443928733
Baseline,ResNet50,frosted_glass_blur_3,2024-04-12 01:15:45.336676,0.8200705329293252
Baseline,ResNet50,gaussian_blur_3,2024-04-12 01:15:47.706291,0.8260933865642677
Baseline,ResNet50,gaussian_noise_3,2024-04-12 01:15:50.081872,0.8945358594417515
Baseline,ResNet50,impulse_noise_3,2024-04-12 01:15:52.448759,0.8221597913378714
Baseline,ResNet50,jpeg_compression_3,2024-04-12 01:15:54.800856,0.9486552097975238
Baseline,ResNet50,motion_blur_3,2024-04-12 01:15:57.158556,0.7002150121829278
Baseline,ResNet50,pixelate_3,2024-04-12 01:15:59.511185,0.9504355558625712
Baseline,ResNet50,saturate_3,2024-04-12 01:16:01.862968,0.96238167005916
Baseline,ResNet50,shot_noise_3,2024-04-12 01:16:04.222742,0.9334084465266268
Baseline,ResNet50,snow_3,2024-04-12 01:16:06.581921,0.8328761979913738
Baseline,ResNet50,spatter_3,2024-04-12 01:16:08.919776,0.8356308750295458
Baseline,ResNet50,speckle_noise_3,2024-04-12 01:16:11.263060,0.952923591600889
Baseline,ResNet50,zoom_blur_3,2024-04-12 01:16:13.623581,0.7974590679837583
Baseline,ResNet50,brightness_3,2024-04-12 01:24:02.192990,0.9484585844705702
Baseline,ResNet50,contrast_3,2024-04-12 01:24:04.549692,0.5443402253885549
Baseline,ResNet50,defocus_blur_3,2024-04-12 01:24:06.885779,0.9007077769029423
Baseline,ResNet50,elastic_3,2024-04-12 01:24:09.237691,0.8131294517291213
Baseline,ResNet50,fog_3,2024-04-12 01:24:11.583691,0.771693069930348
Baseline,ResNet50,frost_3,2024-04-12 01:24:13.925898,0.7737234943883148
Baseline,ResNet50,frosted_glass_blur_3,2024-04-12 01:24:16.273680,0.8018091385541375
Baseline,ResNet50,gaussian_blur_3,2024-04-12 01:24:18.621456,0.8205349322837302
Baseline,ResNet50,gaussian_noise_3,2024-04-12 01:24:20.966906,0.8292786859447144
