,Approach,Corruption Type,Date,Fscore,Model
117,Salt&Pepper,elastic,2024-04-09 01:57:01.725331,0.7472046740282711,Xception
118,Salt&Pepper,fog,2024-04-09 01:57:04.439906,0.6811885965403334,Xception
119,Salt&Pepper,frost,2024-04-09 01:57:07.202662,0.6832989276241135,Xception
120,Salt&Pepper,frosted glass blur,2024-04-09 01:57:09.918363,0.7605157966758773,Xception
121,Salt&Pepper,gaussian blur,2024-04-09 01:57:12.624018,0.7862630715596437,Xception
122,Salt&Pepper,gaussian noise,2024-04-09 01:57:15.344401,0.7647159725441979,Xception
123,Salt&Pepper,impulse noise,2024-04-09 01:57:18.069049,0.7645806418846363,Xception
124,Salt&Pepper,jpeg compression,2024-04-09 01:57:20.788138,0.778682326600191,Xception
125,Salt&Pepper,motion blur,2024-04-09 01:57:23.490149,0.6807011108149548,Xception
126,Salt&Pepper,pixelate,2024-04-09 01:57:26.172699,0.8018810094336789,Xception
127,Salt&Pepper,saturate,2024-04-09 01:57:28.886523,0.7538758963360953,Xception
128,Salt&Pepper,shot noise,2024-04-09 01:57:31.593242,0.7812889661835893,Xception
129,Salt&Pepper,snow,2024-04-09 01:57:34.339093,0.7265959116088156,Xception
130,Salt&Pepper,spatter,2024-04-09 01:57:37.043806,0.6968357837558982,Xception
131,Salt&Pepper,speckle noise,2024-04-09 01:57:39.751334,0.7876737727525942,Xception
132,Salt&Pepper,zoom blur,2024-04-09 01:57:42.440626,0.7678528930520929,Xception
133,Salt&Pepper,brightness,2024-04-09 02:12:22.588122,0.9284211245023756,Xception
134,Salt&Pepper,contrast,2024-04-09 02:12:26.078612,0.6450566507340417,Xception
135,Salt&Pepper,defocus blur,2024-04-09 02:12:28.627342,0.9077576796369048,Xception
136,Salt&Pepper,elastic,2024-04-09 02:12:31.166576,0.8364254130673643,Xception
137,Salt&Pepper,fog,2024-04-09 02:12:33.706294,0.7843203603035193,Xception
138,Salt&Pepper,frost,2024-04-09 02:12:36.270855,0.8325287087130991,Xception
139,Salt&Pepper,frosted glass blur,2024-04-09 02:12:38.819425,0.8731813103174405,Xception
140,Salt&Pepper,gaussian blur,2024-04-09 02:12:41.377797,0.8729434232149993,Xception
141,Salt&Pepper,gaussian noise,2024-04-09 02:12:43.926301,0.9144014003038268,Xception
142,Salt&Pepper,impulse noise,2024-04-09 02:12:46.470391,0.9170299351849364,Xception
143,Salt&Pepper,jpeg compression,2024-04-09 02:12:49.029144,0.9276135279892982,Xception
144,Salt&Pepper,motion blur,2024-04-09 02:12:51.572544,0.7463229453154023,Xception
145,Salt&Pepper,pixelate,2024-04-09 02:12:54.109657,0.9293035697245964,Xception
146,Salt&Pepper,saturate,2024-04-09 02:12:56.658198,0.9304776962521272,Xception
147,Salt&Pepper,shot noise,2024-04-09 02:12:59.207194,0.9279468369106126,Xception
148,Salt&Pepper,snow,2024-04-09 02:13:01.760685,0.8588225829765632,Xception
149,Salt&Pepper,spatter,2024-04-09 02:13:04.319970,0.8495011687171606,Xception
150,Salt&Pepper,speckle noise,2024-04-09 02:13:06.866627,0.9328107917318644,Xception
151,Salt&Pepper,zoom blur,2024-04-09 02:13:09.411433,0.8391198698734941,Xception
152,Salt&Pepper,brightness,2024-04-09 02:23:04.733657,0.9312324520985996,Xception
153,Salt&Pepper,contrast,2024-04-09 02:23:08.196188,0.6877792430618508,Xception
154,Salt&Pepper,defocus blur,2024-04-09 02:23:10.747372,0.9350751212283248,Xception
155,Salt&Pepper,elastic,2024-04-09 02:23:13.311032,0.8628761739125546,Xception
156,Salt&Pepper,fog,2024-04-09 02:23:15.854181,0.8227175936592355,Xception
157,Salt&Pepper,frost,2024-04-09 02:23:18.407616,0.8276459637040873,Xception
158,Salt&Pepper,frosted glass blur,2024-04-09 02:23:20.971229,0.8995316420744814,Xception
159,Salt&Pepper,gaussian blur,2024-04-09 02:23:23.524566,0.9106711999311708,Xception
160,Salt&Pepper,gaussian noise,2024-04-09 02:23:26.067237,0.9221681877954302,Xception
161,Salt&Pepper,impulse noise,2024-04-09 02:23:28.607113,0.9248355839673976,Xception
162,Salt&Pepper,jpeg compression,2024-04-09 02:23:31.151927,0.9419382524714488,Xception
163,Salt&Pepper,motion blur,2024-04-09 02:23:33.698129,0.8026655968291146,Xception
164,Salt&Pepper,pixelate,2024-04-09 02:23:36.255483,0.9496359144048312,Xception
165,Salt&Pepper,saturate,2024-04-09 02:23:38.828725,0.9378179996364356,Xception
166,Salt&Pepper,shot noise,2024-04-09 02:23:41.406019,0.9369185923334572,Xception
167,Salt&Pepper,snow,2024-04-09 02:23:43.969734,0.8566015536733655,Xception
168,Salt&Pepper,spatter,2024-04-09 02:23:46.526039,0.8523968453305238,Xception
169,Salt&Pepper,speckle noise,2024-04-09 02:23:49.086644,0.9414822457830868,Xception
170,Salt&Pepper,zoom blur,2024-04-09 02:23:51.623201,0.8754479048097037,Xception
171,Salt&Pepper,brightness,2024-04-09 02:33:44.654749,0.940299670772686,Xception
172,Salt&Pepper,contrast,2024-04-09 02:33:48.132446,0.599132763242925,Xception
173,Salt&Pepper,defocus blur,2024-04-09 02:33:50.690040,0.933420543735954,Xception
174,Salt&Pepper,elastic,2024-04-09 02:33:53.214942,0.8608192405112722,Xception
175,Salt&Pepper,fog,2024-04-09 02:33:55.743913,0.7848801914335802,Xception
176,Salt&Pepper,frost,2024-04-09 02:33:58.288824,0.8370248812810328,Xception
177,Salt&Pepper,frosted glass blur,2024-04-09 02:34:00.829681,0.9004996862918458,Xception
178,Salt&Pepper,gaussian blur,2024-04-09 02:34:03.364576,0.8929720784687415,Xception
179,Salt&Pepper,gaussian noise,2024-04-09 02:34:05.909432,0.9418520060059768,Xception
180,Salt&Pepper,impulse noise,2024-04-09 02:34:08.444448,0.940600222318625,Xception
181,Salt&Pepper,jpeg compression,2024-04-09 02:34:10.982870,0.9536507515694124,Xception
182,Salt&Pepper,motion blur,2024-04-09 02:34:13.525028,0.7778961610140932,Xception
183,Salt&Pepper,pixelate,2024-04-09 02:34:16.062602,0.9569819847986526,Xception
184,Salt&Pepper,saturate,2024-04-09 02:34:18.592038,0.940574184395323,Xception
185,Salt&Pepper,shot noise,2024-04-09 02:34:21.130956,0.9554185975780352,Xception
186,Salt&Pepper,snow,2024-04-09 02:34:23.660184,0.8703962300004419,Xception
187,Salt&Pepper,spatter,2024-04-09 02:34:26.190624,0.8498252123292008,Xception
188,Salt&Pepper,speckle noise,2024-04-09 02:34:28.754313,0.959741337724348,Xception
189,Salt&Pepper,zoom blur,2024-04-09 02:34:31.289661,0.8731630843639973,Xception
190,DefaultAug,brightness,2024-04-09 02:52:08.496109,0.8936511851616844,Xception
191,DefaultAug,contrast,2024-04-09 02:52:11.964732,0.7624676805565154,Xception
192,DefaultAug,defocus blur,2024-04-09 02:52:14.504272,0.8886200934840802,Xception
193,DefaultAug,elastic,2024-04-09 02:52:17.108935,0.8486234808660711,Xception
194,DefaultAug,fog,2024-04-09 02:52:19.634542,0.860007548582535,Xception
195,DefaultAug,frost,2024-04-09 02:52:22.166254,0.7388211235713417,Xception
196,DefaultAug,frosted glass blur,2024-04-09 02:52:24.701023,0.6606334276778355,Xception
197,DefaultAug,gaussian blur,2024-04-09 02:52:27.234951,0.8421995305341392,Xception
198,DefaultAug,gaussian noise,2024-04-09 02:52:29.771186,0.537085422194673,Xception
199,DefaultAug,impulse noise,2024-04-09 02:52:32.318377,0.6191247885639222,Xception
200,DefaultAug,jpeg compression,2024-04-09 02:52:34.852684,0.8179782617398583,Xception
201,DefaultAug,motion blur,2024-04-09 02:52:37.376391,0.7749713185620297,Xception
202,DefaultAug,pixelate,2024-04-09 02:52:39.905863,0.8260880303110791,Xception
203,DefaultAug,saturate,2024-04-09 02:52:42.462729,0.8988855575479651,Xception
204,DefaultAug,shot noise,2024-04-09 02:52:44.998425,0.6332864462546591,Xception
205,DefaultAug,snow,2024-04-09 02:52:47.558274,0.7747457703193008,Xception
206,DefaultAug,spatter,2024-04-09 02:52:50.077671,0.7566219580217012,Xception
207,DefaultAug,speckle noise,2024-04-09 02:52:52.607298,0.6923082313935993,Xception
208,DefaultAug,zoom blur,2024-04-09 02:52:55.144301,0.8155994873387868,Xception
209,DefaultAug,brightness,2024-04-09 03:10:13.500887,0.9348005313430354,Xception
210,DefaultAug,contrast,2024-04-09 03:10:16.029830,0.821267158288516,Xception
211,DefaultAug,defocus blur,2024-04-09 03:10:18.534043,0.9388613018415924,Xception
212,DefaultAug,elastic,2024-04-09 03:10:21.079921,0.8969407674082468,Xception
213,DefaultAug,fog,2024-04-09 03:10:23.612165,0.8999193548984488,Xception
214,DefaultAug,frost,2024-04-09 03:10:26.141740,0.7613475013543493,Xception
215,DefaultAug,frosted glass blur,2024-04-09 03:10:28.665083,0.7052902939712273,Xception
216,DefaultAug,gaussian blur,2024-04-09 03:10:31.199539,0.9032681878621138,Xception
217,DefaultAug,gaussian noise,2024-04-09 03:10:33.732094,0.6281828573428544,Xception
218,DefaultAug,impulse noise,2024-04-09 03:10:36.266804,0.641217800685108,Xception
219,DefaultAug,jpeg compression,2024-04-09 03:10:38.793184,0.8402349431850903,Xception
220,DefaultAug,motion blur,2024-04-09 03:10:41.374417,0.8253428584252248,Xception
221,DefaultAug,pixelate,2024-04-09 03:10:43.918847,0.8263117101457086,Xception
222,DefaultAug,saturate,2024-04-09 03:10:46.450182,0.9479046631101752,Xception
223,DefaultAug,shot noise,2024-04-09 03:10:48.976310,0.7107584306347889,Xception
224,DefaultAug,snow,2024-04-09 03:10:51.522478,0.8040876085678162,Xception
225,DefaultAug,spatter,2024-04-09 03:10:54.336318,0.7871219038290008,Xception
226,DefaultAug,speckle noise,2024-04-09 03:10:56.892286,0.7510574498448699,Xception
227,DefaultAug,zoom blur,2024-04-09 03:10:59.438177,0.8865227639046249,Xception
228,DefaultAug,brightness,2024-04-09 03:20:05.091428,0.9425186863779438,Xception
229,DefaultAug,contrast,2024-04-09 03:20:07.640472,0.8126949475289736,Xception
230,DefaultAug,defocus blur,2024-04-09 03:20:10.153581,0.9422521939692612,Xception
231,DefaultAug,elastic,2024-04-09 03:20:12.699358,0.9059542570089546,Xception
232,DefaultAug,fog,2024-04-09 03:20:15.219779,0.9028988904436004,Xception
233,DefaultAug,frost,2024-04-09 03:20:17.771918,0.7550042188475693,Xception
234,DefaultAug,frosted glass blur,2024-04-09 03:20:20.312091,0.6757248657707555,Xception
235,DefaultAug,gaussian blur,2024-04-09 03:20:22.874341,0.9041009862788508,Xception
236,DefaultAug,gaussian noise,2024-04-09 03:20:25.400914,0.5148472986905336,Xception
237,DefaultAug,impulse noise,2024-04-09 03:20:27.935580,0.6532406801440505,Xception
238,DefaultAug,jpeg compression,2024-04-09 03:20:30.464516,0.8442417602308497,Xception
239,DefaultAug,motion blur,2024-04-09 03:20:33.003123,0.8135554760188585,Xception
240,DefaultAug,pixelate,2024-04-09 03:20:35.537393,0.8756521980355926,Xception
241,DefaultAug,saturate,2024-04-09 03:20:38.070848,0.9537447129870028,Xception
242,DefaultAug,shot noise,2024-04-09 03:20:40.606199,0.6279712266012833,Xception
243,DefaultAug,snow,2024-04-09 03:20:43.131808,0.8248965578687308,Xception
244,DefaultAug,spatter,2024-04-09 03:20:45.670618,0.8067576846737097,Xception
245,DefaultAug,speckle noise,2024-04-09 03:20:48.199964,0.6965274507088427,Xception
246,DefaultAug,zoom blur,2024-04-09 03:20:50.719853,0.8844546483232962,Xception
247,DefaultAug,brightness,2024-04-09 03:31:34.594152,0.9540537118016904,Xception
248,DefaultAug,contrast,2024-04-09 03:31:37.122123,0.794873623445386,Xception
249,DefaultAug,defocus blur,2024-04-09 03:31:39.663677,0.9506859795945576,Xception
250,DefaultAug,elastic,2024-04-09 03:31:42.207280,0.9085954128855134,Xception
251,DefaultAug,fog,2024-04-09 03:31:44.745365,0.8981763002352874,Xception
252,DefaultAug,frost,2024-04-09 03:31:47.277210,0.7524112850247129,Xception
253,DefaultAug,frosted glass blur,2024-04-09 03:31:49.813919,0.6604334942953104,Xception
254,DefaultAug,gaussian blur,2024-04-09 03:31:52.346741,0.9181974102794938,Xception
255,DefaultAug,gaussian noise,2024-04-09 03:31:54.872483,0.5323767959303352,Xception
256,DefaultAug,impulse noise,2024-04-09 03:31:57.395470,0.6298424039107184,Xception
257,DefaultAug,jpeg compression,2024-04-09 03:31:59.935981,0.8588759179714375,Xception
258,DefaultAug,motion blur,2024-04-09 03:32:02.478395,0.8191595828504766,Xception
259,DefaultAug,pixelate,2024-04-09 03:32:04.997358,0.8914897920081598,Xception
260,DefaultAug,saturate,2024-04-09 03:32:07.534886,0.9624509322750888,Xception
261,DefaultAug,shot noise,2024-04-09 03:32:10.046778,0.6312021782038076,Xception
262,DefaultAug,snow,2024-04-09 03:32:12.582806,0.801827942397565,Xception
263,DefaultAug,spatter,2024-04-09 03:32:15.112714,0.7955164925516022,Xception
264,DefaultAug,speckle noise,2024-04-09 03:32:17.643308,0.6988351599161988,Xception
265,DefaultAug,zoom blur,2024-04-09 03:32:20.171891,0.8859022579014443,Xception
266,DefaultAug,brightness,2024-04-09 03:42:14.990548,0.9452077692017028,Xception
267,DefaultAug,contrast,2024-04-09 03:42:18.498602,0.7905086619338004,Xception
268,DefaultAug,defocus blur,2024-04-09 03:42:21.021520,0.9580376819933928,Xception
269,DefaultAug,elastic,2024-04-09 03:42:23.564850,0.9217262113532512,Xception
270,DefaultAug,fog,2024-04-09 03:42:26.083285,0.8993894278056894,Xception
271,DefaultAug,frost,2024-04-09 03:42:28.617886,0.7626837485536689,Xception
272,DefaultAug,frosted glass blur,2024-04-09 03:42:31.168661,0.688791371365135,Xception
273,DefaultAug,gaussian blur,2024-04-09 03:42:33.702947,0.9338281017122914,Xception
274,DefaultAug,gaussian noise,2024-04-09 03:42:36.235073,0.6042381403540135,Xception
275,DefaultAug,impulse noise,2024-04-09 03:42:38.759453,0.6925919174964851,Xception
276,DefaultAug,jpeg compression,2024-04-09 03:42:41.295944,0.8587944772006738,Xception
277,DefaultAug,motion blur,2024-04-09 03:42:43.824782,0.8558022553530821,Xception
278,DefaultAug,pixelate,2024-04-09 03:42:46.342472,0.8594520817530988,Xception
279,DefaultAug,saturate,2024-04-09 03:42:48.924769,0.963263561809917,Xception
280,DefaultAug,shot noise,2024-04-09 03:42:51.450058,0.6883122925598201,Xception
281,DefaultAug,snow,2024-04-09 03:42:53.990243,0.829324821609165,Xception
282,DefaultAug,spatter,2024-04-09 03:42:56.557912,0.8361208008750838,Xception
283,DefaultAug,speckle noise,2024-04-09 03:42:59.127176,0.7457106005328403,Xception
284,DefaultAug,zoom blur,2024-04-09 03:43:01.658688,0.910157711356347,Xception
285,DefaultAug+S&P,brightness,2024-04-09 04:05:35.024451,0.8938927132170162,Xception
286,DefaultAug+S&P,contrast,2024-04-09 04:05:38.513835,0.6560083202474574,Xception
287,DefaultAug+S&P,defocus blur,2024-04-09 04:05:41.051979,0.9045672594824096,Xception
288,DefaultAug+S&P,elastic,2024-04-09 04:05:43.610809,0.8699832489489424,Xception
289,DefaultAug+S&P,fog,2024-04-09 04:05:46.148982,0.802415127827721,Xception
290,DefaultAug+S&P,frost,2024-04-09 04:05:48.681203,0.8109605348879478,Xception
291,DefaultAug+S&P,frosted glass blur,2024-04-09 04:05:51.219154,0.8675448753405384,Xception
292,DefaultAug+S&P,gaussian blur,2024-04-09 04:05:53.760209,0.8790501495335645,Xception
293,DefaultAug+S&P,gaussian noise,2024-04-09 04:05:56.294924,0.8909102687565754,Xception
294,DefaultAug+S&P,impulse noise,2024-04-09 04:05:58.845482,0.8946254012232228,Xception
295,DefaultAug+S&P,jpeg compression,2024-04-09 04:06:01.386145,0.9061398426938666,Xception
296,DefaultAug+S&P,motion blur,2024-04-09 04:06:03.917757,0.80377624224221,Xception
297,DefaultAug+S&P,pixelate,2024-04-09 04:06:06.456739,0.91417173351869,Xception
298,DefaultAug+S&P,saturate,2024-04-09 04:06:08.987871,0.91100226825598,Xception
299,DefaultAug+S&P,shot noise,2024-04-09 04:06:11.532933,0.9057723978340496,Xception
300,DefaultAug+S&P,snow,2024-04-09 04:06:14.083875,0.8355963341241738,Xception
301,DefaultAug+S&P,spatter,2024-04-09 04:06:16.615215,0.8266017652020743,Xception
302,DefaultAug+S&P,speckle noise,2024-04-09 04:06:19.155640,0.9126852284107174,Xception
303,DefaultAug+S&P,zoom blur,2024-04-09 04:06:21.685599,0.8661676499121687,Xception
304,DefaultAug+S&P,brightness,2024-04-09 04:17:55.477494,0.9236674758765586,Xception
305,DefaultAug+S&P,contrast,2024-04-09 04:17:58.019815,0.6642391915252781,Xception
306,DefaultAug+S&P,defocus blur,2024-04-09 04:18:00.558258,0.9239867282788704,Xception
307,DefaultAug+S&P,elastic,2024-04-09 04:18:03.096012,0.8951712915976326,Xception
308,DefaultAug+S&P,fog,2024-04-09 04:18:05.638885,0.8220189688447173,Xception
309,DefaultAug+S&P,frost,2024-04-09 04:18:08.173121,0.847334370069215,Xception
310,DefaultAug+S&P,frosted glass blur,2024-04-09 04:18:10.706770,0.895861858862194,Xception
311,DefaultAug+S&P,gaussian blur,2024-04-09 04:18:13.243814,0.9064998550092632,Xception
312,DefaultAug+S&P,gaussian noise,2024-04-09 04:18:15.787437,0.91045053527716,Xception
313,DefaultAug+S&P,impulse noise,2024-04-09 04:18:18.342434,0.9104743547280684,Xception
314,DefaultAug+S&P,jpeg compression,2024-04-09 04:18:20.884940,0.9226378118978972,Xception
315,DefaultAug+S&P,motion blur,2024-04-09 04:18:23.430453,0.8327626758628265,Xception
316,DefaultAug+S&P,pixelate,2024-04-09 04:18:25.957947,0.9246165594566744,Xception
317,DefaultAug+S&P,saturate,2024-04-09 04:18:28.486632,0.9218178620233748,Xception
318,DefaultAug+S&P,shot noise,2024-04-09 04:18:31.029921,0.9190717917665072,Xception
319,DefaultAug+S&P,snow,2024-04-09 04:18:33.616274,0.8622952411355657,Xception
