strategy,model,evaluation_set,date_finished,training_time,fold,accuracy,loss,precision(0),recall(0),f1-score(0),support(0),precision(1),recall(1),f1-score(1),support(1),precision(2),recall(2),f1-score(2),support(2),precision(3),recall(3),f1-score(3),support(3),precision(macro avg),recall(macro avg),f1-score(macro avg),support(macro avg),precision(weighted avg),recall(weighted avg),f1-score(weighted avg),support(weighted avg)
Mixed,LSTM,Insertion 1,2024-12-21 21:11:36.869133,364.2272801399231,7,0.8544736842105263,0.4437053501605987,0.8981069042316259,0.8489473684210527,0.8728354978354979,1900.0,0.921012658227848,0.9573684210526316,0.9388387096774192,1900.0,0.8829236739974127,0.718421052631579,0.792222867092281,1900.0,0.7433201927288655,0.8931578947368422,0.8113793927803012,1900.0,0.8613408572964381,0.8544736842105263,0.8538191168463748,7600.0,0.861340857296438,0.8544736842105263,0.8538191168463748,7600.0
Mixed,LSTM,Insertion 2,2024-12-21 21:11:38.931404,364.2272801399231,7,0.810921052631579,0.5792863368988037,0.8835888699602499,0.8189473684210526,0.8500409724119093,1900.0,0.9161091096242924,0.936842105263158,0.926359614884205,1900.0,0.8861066235864298,0.5773684210526315,0.6991714467813894,1900.0,0.6508653122648608,0.9105263157894736,0.759104870557262,1900.0,0.8341674788589581,0.8109210526315789,0.8086692261586915,7600.0,0.8341674788589581,0.810921052631579,0.8086692261586914,7600.0
Mixed,LSTM,Insertion 3,2024-12-21 21:11:40.989905,364.2272801399231,7,0.7790789473684211,0.6991546750068665,0.8799272286234081,0.7636842105263157,0.817695125387433,1900.0,0.9061371841155236,0.9247368421052632,0.9153425371190416,1900.0,0.891566265060241,0.5063157894736842,0.6458543135280296,1900.0,0.596999659052165,0.921578947368421,0.7246016966687358,1900.0,0.8186575842128344,0.779078947368421,0.77587341817581,7600.0,0.8186575842128344,0.7790789473684211,0.7758734181758099,7600.0
Mixed,LSTM,Insertion 4,2024-12-21 21:11:43.052470,364.2272801399231,7,0.7097368421052631,0.9749914407730104,0.8872936109117013,0.6505263157894737,0.7506832675372002,1900.0,0.8838951310861424,0.8694736842105263,0.8766250994958875,1900.0,0.9007444168734492,0.3821052631578947,0.5365853658536586,1900.0,0.5039637599093998,0.936842105263158,0.6553755522827688,1900.0,0.7939742296951731,0.7097368421052632,0.7048173212923787,7600.0,0.7939742296951732,0.7097368421052631,0.7048173212923788,7600.0
Mixed,LSTM,Insertion 5,2024-12-21 21:11:45.100832,364.2272801399231,7,0.3853947368421053,2.8536276817321777,0.8959390862944162,0.1857894736842105,0.3077593722755013,1900.0,0.8444444444444444,0.34,0.4848030018761726,1900.0,0.8,0.0463157894736842,0.0875621890547263,1900.0,0.2909492971094614,0.9694736842105264,0.447576236180294,1900.0,0.7078332069620805,0.3853947368421052,0.3319251998466735,7600.0,0.7078332069620805,0.3853947368421053,0.3319251998466736,7600.0
Mixed,LSTM,Sentence Noise Injection 1,2024-12-21 21:11:47.123541,364.2272801399231,7,0.833421052631579,0.4942871332168579,0.9269005847953216,0.8342105263157895,0.8781163434903048,1900.0,0.9234303215926492,0.9521052631578948,0.9375485877170252,1900.0,0.924483306836248,0.6121052631578947,0.7365421152628245,1900.0,0.6647961092405537,0.9352631578947368,0.7771703476929805,1900.0,0.8599025806161931,0.833421052631579,0.8323443485407838,7600.0,0.8599025806161932,0.833421052631579,0.8323443485407838,7600.0
Mixed,LSTM,Sentence Noise Injection 2,2024-12-21 21:11:49.199778,364.2272801399231,7,0.6159210526315789,1.4019105434417725,0.9532338308457712,0.5042105263157894,0.659552495697074,1900.0,0.8761167361524718,0.7742105263157895,0.8220173232746577,1900.0,0.9324618736383442,0.2252631578947368,0.3628656210258584,1900.0,0.4092438860219878,0.96,0.5738555922605002,1900.0,0.7927640816646437,0.6159210526315789,0.6045727580645226,7600.0,0.7927640816646436,0.6159210526315789,0.6045727580645226,7600.0
Mixed,LSTM,Sentence Noise Injection 3,2024-12-21 21:11:51.343667,364.2272801399231,7,0.4376315789473684,2.527384281158448,0.9635974304068522,0.2368421052631578,0.3802281368821292,1900.0,0.8578154425612052,0.4794736842105263,0.6151249155975692,1900.0,0.902439024390244,0.0584210526315789,0.1097380128521997,1900.0,0.3117014122394082,0.9757894736842104,0.4724770642201835,1900.0,0.7588883273994274,0.4376315789473684,0.3943920323880204,7600.0,0.7588883273994275,0.4376315789473684,0.3943920323880204,7600.0
Mixed,LSTM,Sentence Noise Injection 4,2024-12-21 21:11:53.530117,364.2272801399231,7,0.2839473684210526,3.65084719657898,0.9243697478991596,0.0578947368421052,0.1089648340762753,1900.0,0.7207207207207207,0.0842105263157894,0.1508011310084825,1900.0,0.8666666666666667,0.0068421052631578,0.0135770234986945,1900.0,0.2588348978464936,0.986842105263158,0.4101049868766404,1900.0,0.6926480082832602,0.2839473684210526,0.1708619938650232,7600.0,0.6926480082832602,0.2839473684210526,0.1708619938650232,7600.0
Mixed,LSTM,Sentence Noise Injection 5,2024-12-21 21:11:55.775016,364.2272801399231,7,0.2772368421052631,3.754700183868408,0.956989247311828,0.0468421052631578,0.0893125940792774,1900.0,0.7065217391304348,0.0684210526315789,0.1247600767754318,1900.0,0.75,0.0031578947368421,0.0062893081761006,1900.0,0.2572795625427204,0.9905263157894736,0.4084644601193706,1900.0,0.6676976372462458,0.2772368421052631,0.1572066097875451,7600.0,0.6676976372462458,0.2772368421052631,0.1572066097875451,7600.0
