strategy,model,evaluation_set,date_finished,training_time,fold,accuracy,loss,precision(0),recall(0),f1-score(0),support(0),precision(1),recall(1),f1-score(1),support(1),precision(2),recall(2),f1-score(2),support(2),precision(3),recall(3),f1-score(3),support(3),precision(macro avg),recall(macro avg),f1-score(macro avg),support(macro avg),precision(weighted avg),recall(weighted avg),f1-score(weighted avg),support(weighted avg)
DefaultAug,GRU,Antonym 2,2024-12-23 21:24:56.412088,318.6880102157593,3,0.8848684210526315,0.3414624035358429,0.9019088016967126,0.8952631578947369,0.8985736925515055,1900.0,0.9512833944473548,0.9557894736842104,0.9535311105276976,1900.0,0.8733599543639475,0.8057894736842105,0.8382151656173008,1900.0,0.8172514619883041,0.8826315789473684,0.8486842105263158,1900.0,0.8859509031240798,0.8848684210526316,0.884751044805705,7600.0,0.8859509031240798,0.8848684210526315,0.884751044805705,7600.0
DefaultAug,GRU,Antonym 3,2024-12-23 21:24:58.482754,318.6880102157593,3,0.8843421052631579,0.3432491719722748,0.8984126984126984,0.8936842105263157,0.8960422163588391,1900.0,0.9471757322175732,0.953157894736842,0.9501573976915004,1900.0,0.8742174160500854,0.8084210526315789,0.8400328137817884,1900.0,0.8211660950514453,0.8821052631578947,0.8505455468155291,1900.0,0.8852429854329505,0.8843421052631579,0.8841944936619143,7600.0,0.8852429854329505,0.8843421052631579,0.8841944936619144,7600.0
DefaultAug,GRU,Antonym 4,2024-12-23 21:25:00.562952,318.6880102157593,3,0.8830263157894737,0.3448708355426788,0.9012738853503184,0.8936842105263157,0.8974630021141649,1900.0,0.949632738719832,0.9526315789473684,0.9511297950604308,1900.0,0.8698863636363636,0.8057894736842105,0.8366120218579235,1900.0,0.8156097560975609,0.88,0.8465822784810126,1900.0,0.8841006859510188,0.8830263157894737,0.882946774378383,7600.0,0.8841006859510189,0.8830263157894737,0.882946774378383,7600.0
DefaultAug,GRU,Antonym 5,2024-12-23 21:25:02.621035,318.6880102157593,3,0.8861842105263158,0.3405819833278656,0.9003181336161188,0.8936842105263157,0.8969889064976229,1900.0,0.95125786163522,0.9552631578947368,0.9532563025210083,1900.0,0.8775743707093822,0.8073684210526316,0.8410087719298246,1900.0,0.8202137998056366,0.888421052631579,0.852956038403234,1900.0,0.8873410414415894,0.8861842105263158,0.8860525048379224,7600.0,0.8873410414415894,0.8861842105263158,0.8860525048379225,7600.0
DefaultAug,GRU,Deletion 1,2024-12-23 21:25:04.689496,318.6880102157593,3,0.8898684210526315,0.3332206308841705,0.9100160685591858,0.8942105263157895,0.9020440668967348,1900.0,0.9490379615184608,0.9605263157894736,0.954747580434214,1900.0,0.8740906547285954,0.8221052631578948,0.8473013289937619,1900.0,0.828966880869995,0.8826315789473684,0.8549579403517716,1900.0,0.8905278914190593,0.8898684210526315,0.8897627291691206,7600.0,0.8905278914190592,0.8898684210526315,0.8897627291691205,7600.0
DefaultAug,GRU,Deletion 2,2024-12-23 21:25:06.733212,318.6880102157593,3,0.8867105263157895,0.3383112549781799,0.906951871657754,0.8926315789473684,0.89973474801061,1900.0,0.9427539969056214,0.9621052631578948,0.952331336285491,1900.0,0.8714927048260381,0.8173684210526316,0.8435632808256383,1900.0,0.8272772523643603,0.8747368421052631,0.8503453568687643,1900.0,0.8871189564384434,0.8867105263157895,0.8864936804976259,7600.0,0.8871189564384435,0.8867105263157895,0.8864936804976258,7600.0
DefaultAug,GRU,Deletion 3,2024-12-23 21:25:08.803904,318.6880102157593,3,0.8842105263157894,0.3431115746498108,0.9045333333333332,0.8926315789473684,0.898543046357616,1900.0,0.9463262115685253,0.9557894736842104,0.9510343021733438,1900.0,0.8618021006080707,0.8205263157894737,0.8406578592612564,1900.0,0.8257386079118678,0.8678947368421053,0.8462920195021811,1900.0,0.8846000633554493,0.8842105263157894,0.8841318068235993,7600.0,0.8846000633554492,0.8842105263157894,0.8841318068235994,7600.0
DefaultAug,GRU,Deletion 4,2024-12-23 21:25:10.858742,318.6880102157593,3,0.8830263157894737,0.3443889617919922,0.9013333333333332,0.8894736842105263,0.895364238410596,1900.0,0.9450492483151892,0.9594736842105264,0.9522068425176288,1900.0,0.8606060606060606,0.8221052631578948,0.8409152086137281,1900.0,0.8258455325593135,0.8610526315789474,0.8430816799793868,1900.0,0.883208543703474,0.8830263157894737,0.8828919923803349,7600.0,0.8832085437034742,0.8830263157894737,0.882891992380335,7600.0
DefaultAug,GRU,Deletion 5,2024-12-23 21:25:12.904285,318.6880102157593,3,0.8809210526315789,0.3449710011482239,0.8951271186440678,0.8894736842105263,0.8922914466737064,1900.0,0.9448204060385216,0.9552631578947368,0.9500130855796912,1900.0,0.8556473829201102,0.8173684210526316,0.8360699865410498,1900.0,0.8284412955465587,0.861578947368421,0.8446852425180599,1900.0,0.8810090507873145,0.8809210526315789,0.8807649403281269,7600.0,0.8810090507873146,0.8809210526315789,0.8807649403281268,7600.0
DefaultAug,GRU,Insertion 1,2024-12-23 21:25:15.009840,318.6880102157593,3,0.8511842105263158,0.4543436169624328,0.8447837150127226,0.8736842105263158,0.8589909443725744,1900.0,0.906847935548842,0.9478947368421052,0.9269171384457026,1900.0,0.8965977318212142,0.7073684210526315,0.7908208296557812,1900.0,0.773953488372093,0.8757894736842106,0.8217283950617283,1900.0,0.8555457176887179,0.8511842105263159,0.8496143268839467,7600.0,0.8555457176887179,0.8511842105263158,0.8496143268839466,7600.0
