fold,corruption_type,kl_divergences
4,elastic_2,1.4271421
4,elastic_3,1.2216527
4,elastic_4,1.0869634
4,elastic_5,0.8143342
4,fog_1,0.100278184
4,fog_2,0.3520411
4,fog_3,0.5976639
4,fog_4,0.86579895
4,fog_5,1.3495085
4,frost_1,0.37647706
4,frost_2,0.74366385
4,frost_3,0.9948223
4,frost_4,0.92517173
4,frost_5,1.0242989
4,frosted_glass_blur_1,0.62271434
4,frosted_glass_blur_2,0.6170989
4,frosted_glass_blur_3,0.5939736
4,frosted_glass_blur_4,1.2709721
4,frosted_glass_blur_5,1.2253363
4,gaussian_blur_1,0.0037924133
4,gaussian_blur_2,0.065493844
4,gaussian_blur_3,0.11589738
4,gaussian_blur_4,0.17232184
4,gaussian_blur_5,0.29708168
4,gaussian_noise_1,0.09645928
4,gaussian_noise_2,0.18928286
4,gaussian_noise_3,0.2949366
4,gaussian_noise_4,0.34949487
4,gaussian_noise_5,0.4044356
4,impulse_noise_1,0.15698794
4,impulse_noise_2,0.28339395
4,impulse_noise_3,0.39042726
4,impulse_noise_4,0.56771237
4,impulse_noise_5,0.713026
4,jpeg_compression_1,0.08987194
4,jpeg_compression_2,0.14841893
4,jpeg_compression_3,0.17175885
4,jpeg_compression_4,0.1992335
4,jpeg_compression_5,0.23934808
4,motion_blur_1,0.19229485
4,motion_blur_2,0.39442897
4,motion_blur_3,0.5711331
4,motion_blur_4,0.5696464
4,motion_blur_5,0.7201178
4,pixelate_1,0.06975421
4,pixelate_2,0.11134195
4,pixelate_3,0.13252683
4,pixelate_4,0.20828086
4,pixelate_5,0.3176365
4,saturate_1,0.31631362
4,saturate_2,0.5267519
4,saturate_3,0.093970016
4,saturate_4,0.43270397
4,saturate_5,0.78283274
4,shot_noise_1,0.06252842
4,shot_noise_2,0.11322636
4,shot_noise_3,0.23418094
4,shot_noise_4,0.28871536
4,shot_noise_5,0.3825878
4,snow_1,0.14863065
4,snow_2,0.3971865
4,snow_3,0.52588487
4,snow_4,0.76817393
4,snow_5,1.0734273
4,spatter_1,0.09782249
4,spatter_2,0.2457779
4,spatter_3,0.43857732
4,spatter_4,0.34465453
4,spatter_5,0.5367243
4,speckle_noise_1,0.069292136
4,speckle_noise_2,0.15806025
4,speckle_noise_3,0.20787013
4,speckle_noise_4,0.31282997
4,speckle_noise_5,0.420265
4,zoom_blur_1,0.30384916
4,zoom_blur_2,0.42253023
4,zoom_blur_3,0.5788919
4,zoom_blur_4,0.75085914
4,zoom_blur_5,0.9011917
5,brightness_1,0.041005224
5,brightness_2,0.15651979
5,brightness_3,0.32645378
5,brightness_4,0.53422064
5,brightness_5,1.0045202
5,contrast_1,0.07137194
5,contrast_2,0.31305844
5,contrast_3,0.48721212
5,contrast_4,0.7327279
5,contrast_5,1.3209358
5,defocus_blur_1,0.0034778893
5,defocus_blur_2,0.022619108
5,defocus_blur_3,0.056807287
5,defocus_blur_4,0.101087734
