corruption_type,mean,lower,upper,category
gaussian_noise_1,0.0900437875222,0.06528592323500002,0.11588763589,Lowest
gaussian_noise_2,0.19174854058850002,0.129275886575,0.2596623696625,Mid-Range
gaussian_noise_3,0.32810578901500004,0.21725973147500002,0.45230876309999996,Mid-Range
gaussian_noise_4,0.410638312336,0.271020641875,0.5909096374500001,Mid-Range
gaussian_noise_5,0.495821733075,0.33340680477500007,0.7257687528,Mid-Range
impulse_noise_1,0.14221477726610002,0.1114439363175,0.16908479709,Lowest
impulse_noise_2,0.286379881847,0.2157263613875,0.35740642151249996,Mid-Range
impulse_noise_3,0.415616049106,0.31871336820000007,0.5274851258,Mid-Range
impulse_noise_4,0.6932765649949999,0.514233615875,0.9247175947,Mid-Range
impulse_noise_5,0.9709157306580001,0.71411775335,1.3180232196749997,Highest
jpeg_compression_1,0.0642347438237,0.045626233174999996,0.08071650141249999,Lowest
jpeg_compression_2,0.11059600549859999,0.08184332889,0.137547977395,Lowest
jpeg_compression_3,0.1292921842616,0.09468563992500001,0.16058233999000002,Lowest
jpeg_compression_4,0.1517903019314,0.11237490912750005,0.18644478154999997,Lowest
jpeg_compression_5,0.18537349937,0.14108888493750002,0.2261588978875,Mid-Range
motion_blur_1,0.17934657716,0.152788640225,0.203589399625,Mid-Range
motion_blur_2,0.372137903926,0.31821357745000006,0.4209660735,Mid-Range
motion_blur_3,0.5431549706800001,0.4725429587,0.611444985925,Mid-Range
motion_blur_4,0.542651867407,0.46863069200000007,0.6115409920999999,Mid-Range
motion_blur_5,0.6900395552,0.5928810430999999,0.7763886453,Mid-Range
pixelate_1,0.0552007676955,0.041770618625000006,0.069039612755,Lowest
pixelate_2,0.09564325409700002,0.071090440825,0.11814182877500001,Lowest
pixelate_3,0.1035976874293,0.07510233811250001,0.1305490921625,Lowest
pixelate_4,0.1615244506896,0.11972622490000004,0.20378738744999997,Mid-Range
pixelate_5,0.2531583180486,0.17967592727500004,0.3196942965499999,Mid-Range
saturate_1,0.28253403237999997,0.2628962948750001,0.302277934475,Mid-Range
saturate_2,0.473029778315,0.43590042284999997,0.5118224676249998,Mid-Range
saturate_3,0.0981047599644,0.092717589585,0.103724871275,Lowest
saturate_4,0.665500132221,0.434269297975,1.02196607915,Mid-Range
saturate_5,1.0752278238039998,0.7761251521,1.5838105465,Highest
shot_noise_1,0.0640695535195,0.04282856721250001,0.08947318607999998,Lowest
shot_noise_2,0.1266400823578,0.0756779219625,0.186270998435,Lowest
shot_noise_3,0.3221458689864,0.16784247013500003,0.5374009754349998,Mid-Range
shot_noise_4,0.40118964346860003,0.20730250391000002,0.691785084315,Mid-Range
shot_noise_5,0.58192212274,0.28881695172500005,1.00698686365,Mid-Range
snow_1,0.19548329901400002,0.1630328242,0.22976317722500003,Mid-Range
snow_2,0.5936524860519999,0.462595375325,0.7534686476249999,Mid-Range
snow_3,0.741954664342,0.6005816586999999,0.9104614232499999,Mid-Range
snow_4,1.041108115304,0.8761188624499999,1.238770928425,Highest
snow_5,1.3874831103199998,1.2073979590000001,1.59134293675,Highest
spatter_1,0.08790197073900001,0.0720581406,0.10346173447500001,Lowest
spatter_2,0.237080102429,0.20462277095,0.266514337725,Mid-Range
spatter_3,0.47000801126299996,0.42007202452500003,0.5209988235999999,Mid-Range
spatter_4,0.414050633209,0.282442700225,0.5963500500999999,Mid-Range
spatter_5,0.677431495991,0.44536938470000004,1.004932983325,Mid-Range
speckle_noise_1,0.0859559633564,0.04480977634000001,0.13414028173499998,Lowest
speckle_noise_2,0.24824730943040002,0.10972654367750001,0.4366260289249999,Mid-Range
speckle_noise_3,0.34366182407430007,0.14387444768000002,0.6462245029074999,Mid-Range
speckle_noise_4,0.5555509127089999,0.22763459407500009,1.0609206625749996,Mid-Range
speckle_noise_5,0.6570256648110001,0.3050269541750001,1.2328508683,Mid-Range
zoom_blur_1,0.278460330719,0.232971815075,0.320373933375,Mid-Range
zoom_blur_2,0.38526919512799995,0.3201965983500001,0.4441903927,Mid-Range
zoom_blur_3,0.532338369796,0.44599011639999997,0.6069671862250001,Mid-Range
zoom_blur_4,0.69094501511,0.580784770625,0.785303282525,Mid-Range
zoom_blur_5,0.835019126377,0.7018605630000001,0.9485254261999999,Highest
