corruption_type,mean,lower,upper,percentile,category
gaussian_noise_5,0.491104893908,0.3237717259500001,0.720384527075,53.68421052631579,Mid-Range
impulse_noise_1,0.1418507670857,0.10998177442500003,0.17263837872499999,23.157894736842106,Lowest
impulse_noise_2,0.287834140621,0.21697846993749997,0.36255344291249997,38.94736842105263,Mid-Range
impulse_noise_3,0.415273054586,0.32124577415000005,0.516634132725,49.473684210526315,Mid-Range
impulse_noise_4,0.6938860839459999,0.50794332195,0.9238928992749998,71.57894736842105,Highest
impulse_noise_5,0.9644771333289999,0.6944068774500001,1.3459482296999998,80.0,Highest
jpeg_compression_1,0.0641032401971,0.04613231125250001,0.08000191153999998,8.421052631578947,Lowest
jpeg_compression_2,0.1098256014026,0.08017436387500003,0.13555478221500003,18.947368421052634,Lowest
jpeg_compression_3,0.12953445142859998,0.09868769040000003,0.16205079231,21.052631578947366,Lowest
jpeg_compression_4,0.15302182126959998,0.11590996923499998,0.18936179138,24.210526315789473,Lowest
jpeg_compression_5,0.1851578341185,0.13590307445000002,0.225276059625,27.368421052631582,Lowest
motion_blur_1,0.17890047666599998,0.15151467829999998,0.20304031984999998,26.31578947368421,Lowest
motion_blur_2,0.37354332673699997,0.32038688007500005,0.42482840397499994,44.21052631578947,Mid-Range
motion_blur_3,0.543273301556,0.46964520374999996,0.6111358743499999,58.94736842105262,Mid-Range
motion_blur_4,0.542433122397,0.46651494330000004,0.61239374655,57.89473684210527,Mid-Range
motion_blur_5,0.6904142759159999,0.5998213341499999,0.77086521595,70.52631578947368,Highest
pixelate_1,0.0556653928688,0.04205064047750001,0.0687281413875,5.263157894736842,Lowest
pixelate_2,0.09573494030139999,0.07027953029500002,0.11960684210999999,13.684210526315791,Lowest
pixelate_3,0.10462124874289999,0.075324341775,0.13265845706249998,17.894736842105264,Lowest
pixelate_4,0.1604596687126,0.12185570504500001,0.203885774875,25.263157894736842,Lowest
pixelate_5,0.2532651306082,0.18047871403500002,0.3192715628899999,33.68421052631579,Mid-Range
saturate_1,0.28273628771,0.26344110792500003,0.301248037675,37.89473684210527,Mid-Range
saturate_2,0.473787753456,0.43577967199999995,0.5117975146750001,51.578947368421055,Mid-Range
saturate_3,0.09820130661120001,0.09292344473999999,0.10408265602,14.736842105263156,Lowest
saturate_4,0.660272455752,0.4344927232000001,1.0042615811249997,67.36842105263158,Highest
