Approach,Model,Corruption Type,Date,Training Time,Fscore
Baseline,ResNet50,frosted_glass_blur_3,2024-04-17 10:12:27.703800,1049.0242853164673,0.6188297790812685
Baseline,ResNet50,gaussian_blur_3,2024-04-17 10:12:30.185300,1049.0242853164673,0.6639601432216388
Baseline,ResNet50,gaussian_noise_3,2024-04-17 10:12:32.695199,1049.0242853164673,0.5890272620998386
Baseline,ResNet50,impulse_noise_3,2024-04-17 10:12:35.155368,1049.0242853164673,0.5546165274606942
Baseline,ResNet50,jpeg_compression_3,2024-04-17 10:12:37.617742,1049.0242853164673,0.688580172479061
Baseline,ResNet50,motion_blur_3,2024-04-17 10:12:40.086262,1049.0242853164673,0.6123835413663679
Baseline,ResNet50,pixelate_3,2024-04-17 10:12:42.552870,1049.0242853164673,0.6988183930532623
Baseline,ResNet50,saturate_3,2024-04-17 10:12:45.011197,1049.0242853164673,0.7067299045148967
Baseline,ResNet50,shot_noise_3,2024-04-17 10:12:47.487361,1049.0242853164673,0.6462178879099213
Baseline,ResNet50,snow_3,2024-04-17 10:12:49.972651,1049.0242853164673,0.6143076865715379
Baseline,ResNet50,spatter_3,2024-04-17 10:12:52.478816,1049.0242853164673,0.5954345465339455
Baseline,ResNet50,speckle_noise_3,2024-04-17 10:12:54.956120,1049.0242853164673,0.6737573819404585
Baseline,ResNet50,zoom_blur_3,2024-04-17 10:12:57.434899,1049.0242853164673,0.6543847581480942
Baseline,ResNet50,in-sample,2024-04-17 10:24:46.569673,703.4754033088684,0.6796373627582917
Baseline,ResNet50,brightness_3,2024-04-17 10:24:49.576211,703.4754033088684,0.6585633334055139
Baseline,ResNet50,contrast_3,2024-04-17 10:24:52.042591,703.4754033088684,0.3279268831539165
Baseline,ResNet50,defocus_blur_3,2024-04-17 10:24:54.516326,703.4754033088684,0.6147559354678738
Baseline,ResNet50,elastic_3,2024-04-17 10:24:56.989794,703.4754033088684,0.5839346023237797
Baseline,ResNet50,fog_3,2024-04-17 10:24:59.436735,703.4754033088684,0.4995006476858536
Baseline,ResNet50,frost_3,2024-04-17 10:25:01.897438,703.4754033088684,0.5423632567976812
Baseline,ResNet50,frosted_glass_blur_3,2024-04-17 10:25:04.386232,703.4754033088684,0.5928314896377731
Baseline,ResNet50,gaussian_blur_3,2024-04-17 10:25:06.886755,703.4754033088684,0.5688151384322409
Baseline,ResNet50,gaussian_noise_3,2024-04-17 10:25:09.335663,703.4754033088684,0.586501153815328
Baseline,ResNet50,impulse_noise_3,2024-04-17 10:25:11.799201,703.4754033088684,0.55902507524353
Baseline,ResNet50,jpeg_compression_3,2024-04-17 10:25:14.262045,703.4754033088684,0.6633624685444175
Baseline,ResNet50,motion_blur_3,2024-04-17 10:25:16.715915,703.4754033088684,0.4696942493746484
Baseline,ResNet50,pixelate_3,2024-04-17 10:25:19.187439,703.4754033088684,0.665866076815682
Baseline,ResNet50,saturate_3,2024-04-17 10:25:21.635629,703.4754033088684,0.659428469168789
Baseline,ResNet50,shot_noise_3,2024-04-17 10:25:24.096941,703.4754033088684,0.6184184004024234
Baseline,ResNet50,snow_3,2024-04-17 10:25:26.544706,703.4754033088684,0.5835251086520274
Baseline,ResNet50,spatter_3,2024-04-17 10:25:29.007431,703.4754033088684,0.587591582290433
Baseline,ResNet50,speckle_noise_3,2024-04-17 10:25:31.450462,703.4754033088684,0.6362273977824745
Baseline,ResNet50,zoom_blur_3,2024-04-17 10:25:33.901345,703.4754033088684,0.542276081516481
