approach,model,evaluation_set,date_finished,training_time,fold,accuracy,loss,precision(0),recall(0),f1-score(0),support(0),precision(1),recall(1),f1-score(1),support(1),precision(2),recall(2),f1-score(2),support(2),precision(3),recall(3),f1-score(3),support(3),precision(4),recall(4),f1-score(4),support(4),precision(5),recall(5),f1-score(5),support(5),precision(6),recall(6),f1-score(6),support(6),precision(7),recall(7),f1-score(7),support(7),precision(8),recall(8),f1-score(8),support(8),precision(9),recall(9),f1-score(9),support(9),precision(macro avg),recall(macro avg),f1-score(macro avg),support(macro avg),precision(weighted avg),recall(weighted avg),f1-score(weighted avg),support(weighted avg)
Baseline,Xception,Pixelate 3,2024-04-26 11:44:30.956241,1431.398926973343,1,0.7295,1.6789878606796265,0.7504690431519699,0.8,0.7744433688286544,1000.0,0.9377289377289376,0.768,0.8444200109950522,1000.0,0.8008474576271186,0.567,0.663934426229508,1000.0,0.5580933465739821,0.562,0.560039860488291,1000.0,0.7036363636363636,0.774,0.7371428571428571,1000.0,0.8679245283018868,0.414,0.5605958023019634,1000.0,0.7849686847599165,0.752,0.7681307456588355,1000.0,0.720626631853786,0.828,0.7705909725453699,1000.0,0.6433518005540166,0.929,0.7602291325695582,1000.0,0.7083333333333334,0.901,0.7931338028169015,1000.0,0.7475980127521311,0.7295,0.7232660979576991,10000.0,0.747598012752131,0.7295,0.723266097957699,10000.0
Baseline,Xception,Saturate 3,2024-04-26 11:44:35.972962,1431.398926973343,1,0.8086,1.111222267150879,0.8046198267564967,0.836,0.8200098087297695,1000.0,0.890625,0.912,0.9011857707509882,1000.0,0.777027027027027,0.69,0.7309322033898304,1000.0,0.6350574712643678,0.663,0.6487279843444227,1000.0,0.8392070484581498,0.762,0.7987421383647798,1000.0,0.8088064889918888,0.698,0.7493290391841115,1000.0,0.7740511915269197,0.877,0.8223159868729488,1000.0,0.8221198156682028,0.892,0.8556354916067146,1000.0,0.8567307692307692,0.891,0.8735294117647059,1000.0,0.8862704918032787,0.865,0.875506072874494,1000.0,0.80945151307271,0.8086,0.8075913907882765,10000.0,0.80945151307271,0.8086,0.8075913907882765,10000.0
Baseline,Xception,Shot Noise 3,2024-04-26 11:44:41.022205,1431.398926973343,1,0.6049,3.1560487747192383,0.8316831683168316,0.42,0.5581395348837209,1000.0,0.9613180515759312,0.671,0.790341578327444,1000.0,0.4539007092198581,0.576,0.5077126487439401,1000.0,0.5753012048192772,0.382,0.4591346153846154,1000.0,0.578021978021978,0.526,0.5507853403141362,1000.0,0.8476190476190476,0.267,0.406083650190114,1000.0,0.3506445672191529,0.952,0.5125168236877523,1000.0,0.8845618915159944,0.636,0.7399650959860384,1000.0,0.6699588477366255,0.814,0.7349887133182844,1000.0,0.8131313131313131,0.805,0.8090452261306532,1000.0,0.6966140779176009,0.6049,0.6068713226966699,10000.0,0.6966140779176009,0.6049,0.60687132269667,10000.0
Baseline,Xception,Snow 3,2024-04-26 11:44:46.050082,1431.398926973343,1,0.6748,2.0458149909973145,0.6731481481481482,0.727,0.6990384615384615,1000.0,0.9559032716927454,0.672,0.7891955372871403,1000.0,0.6310810810810811,0.467,0.5367816091954023,1000.0,0.487133984028394,0.549,0.5162200282087447,1000.0,0.6377097729516288,0.646,0.6418281172379532,1000.0,0.7882562277580071,0.443,0.5672215108834827,1000.0,0.5743660041124058,0.838,0.681577877185848,1000.0,0.7353497164461248,0.778,0.7560738581146743,1000.0,0.6794217687074829,0.799,0.734375,1000.0,0.7661737523105361,0.829,0.7963496637848223,1000.0,0.6928543727236554,0.6748000000000001,0.6718661663436529,10000.0,0.6928543727236554,0.6748,0.6718661663436529,10000.0
Baseline,Xception,Spatter 3,2024-04-26 11:44:51.023750,1431.398926973343,1,0.6828,1.903197288513184,0.6712328767123288,0.735,0.7016706443914082,1000.0,0.8990147783251231,0.73,0.8057395143487858,1000.0,0.6776034236804565,0.475,0.5584950029394473,1000.0,0.513671875,0.526,0.5197628458498024,1000.0,0.6540816326530612,0.641,0.6474747474747475,1000.0,0.8133086876155268,0.44,0.5710577547047371,1000.0,0.590818363273453,0.888,0.7095485417499001,1000.0,0.7475538160469667,0.764,0.7556874381800198,1000.0,0.7,0.784,0.7396226415094339,1000.0,0.7029950083194676,0.845,0.7674841053587648,1000.0,0.6970280461626384,0.6828,0.6776543236507047,10000.0,0.6970280461626384,0.6828,0.6776543236507047,10000.0
Baseline,Xception,Speckle Noise 3,2024-04-26 11:44:56.042802,1431.398926973343,1,0.6553,2.661643743515014,0.8286252354048964,0.44,0.5747877204441542,1000.0,0.9441624365482234,0.744,0.832214765100671,1000.0,0.5063091482649842,0.642,0.5661375661375662,1000.0,0.582798459563543,0.454,0.5103991006183248,1000.0,0.6348258706467662,0.638,0.6364089775561097,1000.0,0.8463541666666666,0.325,0.4696531791907514,1000.0,0.4342777519739897,0.935,0.5930859498889947,1000.0,0.8650306748466258,0.705,0.7768595041322314,1000.0,0.6428571428571429,0.882,0.7436762225969646,1000.0,0.8707182320441988,0.788,0.8272965879265092,1000.0,0.7155959118817038,0.6553000000000001,0.6530519573592276,10000.0,0.7155959118817038,0.6553,0.6530519573592278,10000.0
Baseline,Xception,Zoom Blur 3,2024-04-26 11:45:01.077485,1431.398926973343,1,0.6541,1.8856353759765625,0.6869639794168096,0.801,0.739612188365651,1000.0,0.9319826338639652,0.644,0.7616794795978712,1000.0,0.592788038698329,0.674,0.6307908282639214,1000.0,0.3766909469302809,0.724,0.4955509924709103,1000.0,0.7219512195121951,0.592,0.6505494505494506,1000.0,0.5638009049773756,0.623,0.5919239904988123,1000.0,0.8531468531468531,0.366,0.5122463261021694,1000.0,0.7168391345249294,0.762,0.7387300048473098,1000.0,0.7376744186046512,0.793,0.7643373493975903,1000.0,0.9493243243243245,0.562,0.706030150753769,1000.0,0.7131162453999714,0.6541,0.6591450760847455,10000.0,0.7131162453999713,0.6541,0.6591450760847455,10000.0
Baseline,Xception,In-Distribution,2024-04-26 11:58:52.365150,824.4084367752075,2,0.781,1.0528717041015625,0.7069387755102041,0.866,0.7784269662921348,1000.0,0.9158780231335436,0.871,0.8928754484879547,1000.0,0.7046908315565032,0.661,0.6821465428276574,1000.0,0.6678743961352657,0.553,0.6050328227571116,1000.0,0.8368617683686177,0.672,0.745424292845258,1000.0,0.6582388840453357,0.755,0.7033069399161621,1000.0,0.7998146431881371,0.863,0.8302068302068302,1000.0,0.7795555555555556,0.877,0.8254117647058823,1000.0,0.9212050984936268,0.795,0.8534621578099839,1000.0,0.861671469740634,0.897,0.8789808917197452,1000.0,0.7852729445727424,0.781,0.7795274657568722,10000.0,0.7852729445727423,0.781,0.779527465756872,10000.0
Baseline,Xception,Brightness 3,2024-04-26 11:58:58.319291,824.4084367752075,2,0.7589,1.132737398147583,0.6522388059701493,0.874,0.747008547008547,1000.0,0.915273132664437,0.821,0.8655772272008434,1000.0,0.6540697674418605,0.675,0.6643700787401575,1000.0,0.6211764705882353,0.528,0.5708108108108109,1000.0,0.8498694516971279,0.651,0.737259343148358,1000.0,0.6698473282442748,0.702,0.6855468750000001,1000.0,0.7616014558689718,0.837,0.7975226298237256,1000.0,0.7898089171974523,0.868,0.827060505002382,1000.0,0.8877665544332211,0.791,0.8365943945002644,1000.0,0.8609406952965235,0.842,0.8513650151668353,1000.0,0.7662592579402253,0.7588999999999999,0.7583115426401924,10000.0,0.7662592579402254,0.7589,0.7583115426401924,10000.0
Baseline,Xception,Contrast 3,2024-04-26 11:59:03.287717,824.4084367752075,2,0.6037,1.7832527160644531,0.6100086281276963,0.707,0.6549328392774433,1000.0,0.9558823529411764,0.585,0.7258064516129031,1000.0,0.507399577167019,0.48,0.4933196300102774,1000.0,0.3901408450704225,0.554,0.4578512396694215,1000.0,0.4618138424821002,0.774,0.5784753363228698,1000.0,0.6792763157894737,0.413,0.5136815920398009,1000.0,0.5792466240227434,0.815,0.6771915247195679,1000.0,0.8778135048231511,0.546,0.6732429099876696,1000.0,0.6927927927927928,0.769,0.7289099526066352,1000.0,0.8954545454545455,0.394,0.5472222222222223,1000.0,0.6649829028671121,0.6037,0.6050633698468811,10000.0,0.6649829028671121,0.6037,0.6050633698468811,10000.0
Baseline,Xception,Defocus Blur 3,2024-04-26 11:59:08.306581,824.4084367752075,2,0.7149,1.302606225013733,0.7522388059701492,0.756,0.7541147132169576,1000.0,0.939929328621908,0.798,0.8631692806922661,1000.0,0.7263157894736842,0.552,0.6272727272727273,1000.0,0.4678274034822104,0.618,0.5325290822921155,1000.0,0.7630331753554502,0.644,0.6984815618221257,1000.0,0.4509132420091324,0.79,0.5741279069767441,1000.0,0.8369426751592357,0.657,0.7361344537815127,1000.0,0.8316939890710382,0.761,0.7947780678851175,1000.0,0.9103030303030304,0.751,0.8230136986301371,1000.0,0.8707627118644068,0.822,0.8456790123456791,1000.0,0.7549960151310245,0.7149000000000001,0.7249300504915382,10000.0,0.7549960151310247,0.7149,0.7249300504915384,10000.0
Baseline,Xception,Elastic 3,2024-04-26 11:59:13.289091,824.4084367752075,2,0.6875,1.443318009376526,0.6838301716350497,0.757,0.7185571903179875,1000.0,0.9097472924187726,0.756,0.825778263244129,1000.0,0.641860465116279,0.552,0.5935483870967742,1000.0,0.4554064719810576,0.577,0.5090427878253198,1000.0,0.7305882352941176,0.621,0.6713513513513514,1000.0,0.4471937235968618,0.741,0.5577719232216786,1000.0,0.8165605095541402,0.641,0.7182072829131654,1000.0,0.7911733046286329,0.735,0.7620528771384136,1000.0,0.8981132075471698,0.714,0.7955431754874651,1000.0,0.8498367791077258,0.781,0.8139656070870245,1000.0,0.7224310160879808,0.6874999999999999,0.6965818845683309,10000.0,0.7224310160879808,0.6875,0.6965818845683309,10000.0
