Approach,Model,Corruption Type,Date,Training Time,Fscore
Baseline,ResNet50,fog_3,2024-04-14 03:35:43.731899,821.0889084339142,0.5374884034745565
Baseline,ResNet50,frost_3,2024-04-14 03:35:46.085509,821.0889084339142,0.4957446184481456
Baseline,ResNet50,frosted_glass_blur_3,2024-04-14 03:35:48.414108,821.0889084339142,0.6878097190123664
Baseline,ResNet50,gaussian_blur_3,2024-04-14 03:35:50.750437,821.0889084339142,0.6921083037962995
Baseline,ResNet50,gaussian_noise_3,2024-04-14 03:35:53.083766,821.0889084339142,0.6783309529146695
Baseline,ResNet50,impulse_noise_3,2024-04-14 03:35:55.405300,821.0889084339142,0.6260767867166639
Baseline,ResNet50,jpeg_compression_3,2024-04-14 03:35:57.783552,821.0889084339142,0.8151016071972081
Baseline,ResNet50,motion_blur_3,2024-04-14 03:36:00.141909,821.0889084339142,0.5169081750851054
Baseline,ResNet50,pixelate_3,2024-04-14 03:36:02.461468,821.0889084339142,0.8201951055314037
Baseline,ResNet50,saturate_3,2024-04-14 03:36:04.786216,821.0889084339142,0.8605316606426084
Baseline,ResNet50,shot_noise_3,2024-04-14 03:36:07.142062,821.0889084339142,0.7383248008344466
Baseline,ResNet50,snow_3,2024-04-14 03:36:09.477945,821.0889084339142,0.661595373429177
Baseline,ResNet50,spatter_3,2024-04-14 03:36:11.809343,821.0889084339142,0.6688478317837299
Baseline,ResNet50,speckle_noise_3,2024-04-14 03:36:14.161087,821.0889084339142,0.7619335772019847
Baseline,ResNet50,zoom_blur_3,2024-04-14 03:36:16.555514,821.0889084339142,0.6688746958138344
Baseline,ResNet50,brightness_3,2024-04-14 03:46:32.494446,611.480131149292,0.6555361009760954
Baseline,ResNet50,contrast_3,2024-04-14 03:46:35.743367,611.480131149292,0.2429696671930435
Baseline,ResNet50,defocus_blur_3,2024-04-14 03:46:38.076772,611.480131149292,0.6350555896392014
Baseline,ResNet50,elastic_3,2024-04-14 03:46:40.408784,611.480131149292,0.5960242188993969
Baseline,ResNet50,fog_3,2024-04-14 03:46:42.723667,611.480131149292,0.4588953778848537
Baseline,ResNet50,frost_3,2024-04-14 03:46:45.054122,611.480131149292,0.4633768989832587
Baseline,ResNet50,frosted_glass_blur_3,2024-04-14 03:46:47.395884,611.480131149292,0.5813024526276067
Baseline,ResNet50,gaussian_blur_3,2024-04-14 03:46:49.719075,611.480131149292,0.5899118381280217
Baseline,ResNet50,gaussian_noise_3,2024-04-14 03:46:52.068724,611.480131149292,0.5612878118986335
