Approach,Model,Corruption Type,Date,Training Time,Fscore
Baseline,ResNet50,in-sample,2024-04-16 20:36:48.945737,768.1525619029999,0.6452760900746564
Baseline,ResNet50,brightness_3,2024-04-16 20:36:51.825558,768.1525619029999,0.5843946733214849
Baseline,ResNet50,contrast_3,2024-04-16 20:36:54.183882,768.1525619029999,0.2984739534180137
Baseline,ResNet50,defocus_blur_3,2024-04-16 20:36:56.525344,768.1525619029999,0.5890195029144193
Baseline,ResNet50,elastic_3,2024-04-16 20:36:58.925244,768.1525619029999,0.5657791067934294
Baseline,ResNet50,fog_3,2024-04-16 20:37:01.283894,768.1525619029999,0.4822831310964431
Baseline,ResNet50,frost_3,2024-04-16 20:37:03.634734,768.1525619029999,0.4788642869638543
Baseline,ResNet50,frosted_glass_blur_3,2024-04-16 20:37:06.000824,768.1525619029999,0.5660036350707479
Baseline,ResNet50,gaussian_blur_3,2024-04-16 20:37:08.370178,768.1525619029999,0.5488624787471006
Baseline,ResNet50,gaussian_noise_3,2024-04-16 20:37:10.727694,768.1525619029999,0.5792992547708613
Baseline,ResNet50,impulse_noise_3,2024-04-16 20:37:13.088892,768.1525619029999,0.5399830462002316
Baseline,ResNet50,jpeg_compression_3,2024-04-16 20:37:15.430315,768.1525619029999,0.6234680800741419
Baseline,ResNet50,motion_blur_3,2024-04-16 20:37:17.803551,768.1525619029999,0.5410292636439945
Baseline,ResNet50,pixelate_3,2024-04-16 20:37:20.146299,768.1525619029999,0.6189815759270797
Baseline,ResNet50,saturate_3,2024-04-16 20:37:22.505643,768.1525619029999,0.6409290805316339
Baseline,ResNet50,shot_noise_3,2024-04-16 20:37:24.842103,768.1525619029999,0.6111980272058439
Baseline,ResNet50,snow_3,2024-04-16 20:37:27.198983,768.1525619029999,0.5291151206435027
Baseline,ResNet50,spatter_3,2024-04-16 20:37:29.545944,768.1525619029999,0.5482167218890508
Baseline,ResNet50,speckle_noise_3,2024-04-16 20:37:31.894150,768.1525619029999,0.6288070654961964
Baseline,ResNet50,zoom_blur_3,2024-04-16 20:37:34.241086,768.1525619029999,0.5278660224449867
Salt&Pepper,ResNet50,in-sample,2024-04-16 20:46:18.979924,519.6405611038208,0.628669663529243
Salt&Pepper,ResNet50,brightness_3,2024-04-16 20:46:21.895613,519.6405611038208,0.607606887559327
Salt&Pepper,ResNet50,contrast_3,2024-04-16 20:46:24.236071,519.6405611038208,0.2435934036642074
Salt&Pepper,ResNet50,defocus_blur_3,2024-04-16 20:46:26.579949,519.6405611038208,0.6073601266107211
Salt&Pepper,ResNet50,elastic_3,2024-04-16 20:46:28.921401,519.6405611038208,0.5819630341226942
Salt&Pepper,ResNet50,fog_3,2024-04-16 20:46:31.293833,519.6405611038208,0.4476501690224513
Salt&Pepper,ResNet50,frost_3,2024-04-16 20:46:33.635295,519.6405611038208,0.511004500394833
Salt&Pepper,ResNet50,frosted_glass_blur_3,2024-04-16 20:46:35.983658,519.6405611038208,0.5913800072260313
