,fold,corruption_type,kl_divergences
432,4,jpeg_compression_3,0.17175885
433,4,jpeg_compression_4,0.1992335
434,4,jpeg_compression_5,0.23934808
435,4,motion_blur_1,0.19229485
436,4,motion_blur_2,0.39442897
437,4,motion_blur_3,0.5711331
438,4,motion_blur_4,0.5696464
439,4,motion_blur_5,0.7201178
440,4,pixelate_1,0.06975421
441,4,pixelate_2,0.11134195
442,4,pixelate_3,0.13252683
443,4,pixelate_4,0.20828086
444,4,pixelate_5,0.3176365
445,4,saturate_1,0.31631362
446,4,saturate_2,0.5267519
447,4,saturate_3,0.093970016
448,4,saturate_4,0.43270397
449,4,saturate_5,0.78283274
450,4,shot_noise_1,0.06252842
451,4,shot_noise_2,0.11322636
452,4,shot_noise_3,0.23418094
453,4,shot_noise_4,0.28871536
454,4,shot_noise_5,0.3825878
455,4,snow_1,0.14863065
456,4,snow_2,0.3971865
457,4,snow_3,0.52588487
458,4,snow_4,0.76817393
459,4,snow_5,1.0734273
460,4,spatter_1,0.09782249
461,4,spatter_2,0.2457779
462,4,spatter_3,0.43857732
463,4,spatter_4,0.34465453
464,4,spatter_5,0.5367243
465,4,speckle_noise_1,0.069292136
466,4,speckle_noise_2,0.15806025
467,4,speckle_noise_3,0.20787013
468,4,speckle_noise_4,0.31282997
469,4,speckle_noise_5,0.420265
470,4,zoom_blur_1,0.30384916
471,4,zoom_blur_2,0.42253023
472,4,zoom_blur_3,0.5788919
473,4,zoom_blur_4,0.75085914
474,4,zoom_blur_5,0.9011917
475,5,brightness_1,0.041005224
476,5,brightness_2,0.15651979
477,5,brightness_3,0.32645378
478,5,brightness_4,0.53422064
479,5,brightness_5,1.0045202
480,5,contrast_1,0.07137194
481,5,contrast_2,0.31305844
482,5,contrast_3,0.48721212
483,5,contrast_4,0.7327279
484,5,contrast_5,1.3209358
485,5,defocus_blur_1,0.0034778893
486,5,defocus_blur_2,0.022619108
487,5,defocus_blur_3,0.056807287
488,5,defocus_blur_4,0.101087734
489,5,defocus_blur_5,0.27722782
490,5,elastic_1,1.5892962
491,5,elastic_2,1.4162955
492,5,elastic_3,1.2060965
493,5,elastic_4,1.0738775
494,5,elastic_5,0.80123496
495,5,fog_1,0.071379066
496,5,fog_2,0.29462075
497,5,fog_3,0.5313382
498,5,fog_4,0.7979946
499,5,fog_5,1.2771047
500,5,frost_1,0.3636126
501,5,frost_2,0.72224134
502,5,frost_3,0.97393167
503,5,frost_4,0.9089592
504,5,frost_5,1.0097271
505,5,frosted_glass_blur_1,0.60871524
506,5,frosted_glass_blur_2,0.6043122
507,5,frosted_glass_blur_3,0.5788248
508,5,frosted_glass_blur_4,1.2831475
509,5,frosted_glass_blur_5,1.2335892
510,5,gaussian_blur_1,0.0032804755
511,5,gaussian_blur_2,0.05482953
512,5,gaussian_blur_3,0.09698394
513,5,gaussian_blur_4,0.14557879
514,5,gaussian_blur_5,0.25994593
515,5,gaussian_noise_1,0.07915136
516,5,gaussian_noise_2,0.15663563
517,5,gaussian_noise_3,0.24674013
518,5,gaussian_noise_4,0.294116
519,5,gaussian_noise_5,0.34367862
520,5,impulse_noise_1,0.1354588
521,5,impulse_noise_2,0.24704748
522,5,impulse_noise_3,0.3425312
523,5,impulse_noise_4,0.5083967
524,5,impulse_noise_5,0.6478816
525,5,jpeg_compression_1,0.055187255
526,5,jpeg_compression_2,0.100134216
527,5,jpeg_compression_3,0.120418064
528,5,jpeg_compression_4,0.14425066
529,5,jpeg_compression_5,0.18060757
530,5,motion_blur_1,0.19258954
531,5,motion_blur_2,0.39637533
532,5,motion_blur_3,0.572947
533,5,motion_blur_4,0.57229495
534,5,motion_blur_5,0.7199379
535,5,pixelate_1,0.055118553
536,5,pixelate_2,0.105802014
537,5,pixelate_3,0.1055472
538,5,pixelate_4,0.15522167
539,5,pixelate_5,0.27099
540,5,saturate_1,0.2733299
541,5,saturate_2,0.44940895
542,5,saturate_3,0.09098207
543,5,saturate_4,0.4110059
544,5,saturate_5,0.7476488
545,5,shot_noise_1,0.051332537
546,5,shot_noise_2,0.09282243
547,5,shot_noise_3,0.19416536
548,5,shot_noise_4,0.24150023
549,5,shot_noise_5,0.3244978
550,5,snow_1,0.14260395
551,5,snow_2,0.37729967
552,5,snow_3,0.5069661
553,5,snow_4,0.7315095
554,5,snow_5,1.0182565
555,5,spatter_1,0.09401375
556,5,spatter_2,0.24131036
557,5,spatter_3,0.43310174
558,5,spatter_4,0.3219143
559,5,spatter_5,0.504853
560,5,speckle_noise_1,0.055607248
561,5,speckle_noise_2,0.12863171
562,5,speckle_noise_3,0.17075793
563,5,speckle_noise_4,0.2602586
564,5,speckle_noise_5,0.35672575
565,5,zoom_blur_1,0.2970461
566,5,zoom_blur_2,0.40979865
567,5,zoom_blur_3,0.56220716
568,5,zoom_blur_4,0.73128176
569,5,zoom_blur_5,0.8768884
570,6,brightness_1,0.14176098
571,6,brightness_2,0.5357412
572,6,brightness_3,0.71813685
573,6,brightness_4,0.8814688
574,6,brightness_5,1.2325364
575,6,contrast_1,0.19031915
576,6,contrast_2,0.5717978
577,6,contrast_3,0.7533026
578,6,contrast_4,1.0011182
579,6,contrast_5,1.5301266
580,6,defocus_blur_1,0.0038448386
581,6,defocus_blur_2,0.023389589
582,6,defocus_blur_3,0.057360303
583,6,defocus_blur_4,0.10174242
584,6,defocus_blur_5,0.25905728
585,6,elastic_1,1.6176705
586,6,elastic_2,1.4259701
587,6,elastic_3,1.2067382
588,6,elastic_4,1.067773
589,6,elastic_5,0.7881048
590,6,fog_1,0.4687214
591,6,fog_2,0.7751841
592,6,fog_3,0.99891585
593,6,fog_4,1.2361188
594,6,fog_5,1.6482179
595,6,frost_1,0.7524873
596,6,frost_2,1.0502354
597,6,frost_3,1.2803694
