strategy,model,evaluation_set,date_finished,training_time,fold,accuracy,loss,precision(0),recall(0),f1-score(0),support(0),precision(1),recall(1),f1-score(1),support(1),precision(2),recall(2),f1-score(2),support(2),precision(3),recall(3),f1-score(3),support(3),precision(4),recall(4),f1-score(4),support(4),precision(5),recall(5),f1-score(5),support(5),precision(6),recall(6),f1-score(6),support(6),precision(7),recall(7),f1-score(7),support(7),precision(8),recall(8),f1-score(8),support(8),precision(9),recall(9),f1-score(9),support(9),precision(macro avg),recall(macro avg),f1-score(macro avg),support(macro avg),precision(weighted avg),recall(weighted avg),f1-score(weighted avg),support(weighted avg)
Baseline,ResNet50,In-Distribution,2024-09-04 20:13:26.012833,1161.796374797821,11,0.1516531402748316,1.0058711767196655,0.1900704646985676,0.2497125915169117,0.215847280334728,16527.0,0.1361746361746361,0.1070873865772909,0.1198920056742781,12233.0,0.125756475429678,0.0962482630847614,0.1090412971611481,10795.0,0.1422159370388588,0.1882477415154228,0.1620258484816644,12287.0,0.1440292445166531,0.1439240198068025,0.1439766129359697,12319.0,0.1108986615678776,0.0755208333333333,0.0898528272656855,9216.0,,,,,0.1542401821286283,0.1419166604324081,0.1478220213512039,13367.0,,,,,,,,,0.1433408002221285,0.1432367851809901,0.1412082704578111,86744.0,0.1472163389719285,0.1516531402748316,0.1473246313392812,86744.0
Baseline,ResNet50,In-Distribution,2024-09-04 20:36:57.209066,1367.9583101272583,12,0.1483791386147745,0.8074489235877991,0.1933234859675037,0.1979790645610213,0.1956235800550042,16527.0,0.1410245372363323,0.1339001062699256,0.137370010063737,12233.0,0.1253397765025672,0.1153311718388142,0.120127363952142,10795.0,0.1433449873973493,0.1434849841295678,0.1434149515984706,12287.0,0.1422990232907588,0.1537462456368211,0.1478013188185259,12319.0,0.1010292203951259,0.0926649305555555,0.0966664780123379,9216.0,,,,,0.1551833345062988,0.164958479838408,0.1599216710182767,13367.0,,,,,,,,,0.143077766470848,0.1431521404043019,0.1429893390740706,86744.0,0.1474792004002521,0.1483791386147745,0.1478113567419183,86744.0
Baseline,ResNet50,In-Distribution,2024-09-04 20:58:18.151339,1238.2199902534485,13,0.1448515171078115,0.8723759651184082,0.1908387260499936,0.1820052036062201,0.1863173216885007,16527.0,0.1395971994122223,0.1320199460475762,0.135702882110747,12233.0,0.1287004515805318,0.1425660027790644,0.1352788643255834,10795.0,0.1365738862290026,0.1369740376007162,0.1367736692401462,12287.0,0.1409113838910375,0.136050004058771,0.1384380291578904,12319.0,0.106209735146743,0.1287977430555555,0.1164182032169478,9216.0,,,,,0.1539545680649975,0.1389242163537069,0.1460537181957607,13367.0,,,,,,,,,0.1423979929106469,0.1424767362145158,0.1421403839907966,86744.0,0.1464276013250075,0.1448515171078115,0.1453797546795299,86744.0
Baseline,ResNet50,In-Distribution,2024-09-04 21:19:35.834251,1235.065408229828,14,0.1455547357742322,0.9302000403404236,0.1929105377381239,0.1936225570278937,0.1932658915899139,16527.0,0.1470280551592962,0.126379465380528,0.1359240372780024,12233.0,0.1226092896174863,0.1330245484020379,0.1276047451903852,10795.0,0.1411618196469123,0.1568324245137136,0.1485850875163852,12287.0,0.1443488943488943,0.1335335660362042,0.1387307611216529,12319.0,0.1073848948508349,0.1667751736111111,0.1306472863275107,9216.0,,,,,0.1557941416734741,0.0998728211266552,0.1217177242888402,13367.0,,,,,,,,,0.1444625190050031,0.1442915080140205,0.1423536476160986,86744.0,0.1486586130171847,0.1455547357742322,0.1452560729340733,86744.0
Baseline,ResNet50,In-Distribution,2024-09-04 21:40:56.770383,1237.4908339977264,15,0.1466960250853085,0.934883713722229,0.1922622246104245,0.2164942215768137,0.2036599595867604,16527.0,0.1385569702905648,0.1734652170358865,0.1540583708436184,12233.0,0.122021160882033,0.1143121815655396,0.1180409412665008,10795.0,0.1348530447589165,0.1714006673720192,0.1509461009174312,12287.0,0.1407904022582921,0.0971669778391103,0.1149800682003746,12319.0,0.1075246057783892,0.1102430555555555,0.1088668631127779,9216.0,,,,,0.1610855767126285,0.110121942096207,0.130815374361253,13367.0,,,,,,,,,0.1424419978987498,0.1418863232915903,0.1401953826126737,86744.0,0.1466985339915908,0.1466960250853085,0.1446529614181888,86744.0
DefaultAug+S&P,ResNet50,In-Distribution,2024-09-04 22:29:16.694123,2855.630049467087,1,0.1446901226597805,0.9446821212768556,0.1885896479207652,0.1682095964179827,0.1778175770756044,16527.0,0.1409631340347275,0.1347175672361644,0.1377696037451931,12233.0,0.1189644544894185,0.1072718851320055,0.1128160163670904,10795.0,0.140470719741663,0.1840970131032799,0.1593518844663614,12287.0,0.1390524442010133,0.1648672781881646,0.1508635097493036,12319.0,0.1116701607267645,0.0866970486111111,0.0976116303219107,9216.0,,,,,0.1473179172565675,0.1401211939851874,0.1436294620605038,13367.0,,,,,,,,,0.1410040683387028,0.1408545118105565,0.1399799548265668,86744.0,0.1448255327267716,0.1446901226597805,0.1438474538996996,86744.0
DefaultAug+S&P,ResNet50,In-Distribution,2024-09-04 23:19:58.840030,2998.3935356140137,2,0.1482638568661809,0.8230423331260681,0.1931587200185841,0.201246445210867,0.1971196586262075,16527.0,0.1396934927385059,0.1423199542221858,0.1409944930353093,12233.0,0.1279843444227006,0.1211672070402964,0.1244825124910778,10795.0,0.144693296390364,0.1530072434280133,0.1487341772151898,12287.0,0.1339385787939923,0.0970046269989447,0.1125182430205734,12319.0,0.1056208868270579,0.1062282986111111,0.1059237219367054,9216.0,,,,,0.1553199642355345,0.1819405999850377,0.1675796726959517,13367.0,,,,,,,,,0.1429156119181056,0.1432734822137795,0.1424789255744307,86744.0,0.1471017661199217,0.1482638568661809,0.1470558255472009,86744.0
DefaultAug+S&P,ResNet50,In-Distribution,2024-09-05 00:08:25.717316,2863.5669124126434,3,0.1477681453472286,0.9171682000160216,0.1960893509065033,0.191746838506686,0.1938937836514929,16527.0,0.1407279029462738,0.1327556609171912,0.1366255836453119,12233.0,0.1116427432216905,0.0778138026864289,0.0917080626671761,10795.0,0.1457359635811836,0.1954097826971596,0.1669564008066198,12287.0,0.1423528613128776,0.1702248559136293,0.1550462107208872,12319.0,0.1058907460252751,0.1127387152777777,0.1092074837082194,9216.0,,,,,0.1569374345300447,0.1232886960424927,0.1380928439751969,13367.0,,,,,,,,,0.1427681432176926,0.1434254788630522,0.1416471955964149,86744.0,0.147392915222022,0.1477681453472286,0.1461722153173296,86744.0
DefaultAug+S&P,ResNet50,In-Distribution,2024-09-05 00:57:56.790622,2926.9409642219543,4,0.1470188139813704,0.8957229852676392,0.191638657939737,0.1966479094814545,0.1941109717493878,16527.0,0.144147129483887,0.142238208125562,0.1431863067807768,12233.0,0.1247693950869016,0.1190365910143585,0.1218355930596378,10795.0,0.1397275663530403,0.1619597949051843,0.1500245014889366,12287.0,0.1420955882352941,0.1254971994480071,0.1332816069658174,12319.0,0.1035439137134052,0.109375,0.1063796105746398,9216.0,,,,,0.1540054148749801,0.1446846712052068,0.1491996142719382,13367.0,,,,,,,,,0.1428468093838922,0.1427770534542533,0.1425740292701621,86744.0,0.1470719450725874,0.1470188139813704,0.14680990326784,86744.0
DefaultAug+S&P,ResNet50,In-Distribution,2024-09-05 01:51:10.639326,3150.4549691677094,5,0.1468574195333394,0.8642635941505432,0.1867514507963946,0.1830338234404308,0.1848739495798319,16527.0,0.1417515274949083,0.142238208125562,0.1419944507915782,12233.0,0.1219436386241193,0.109031959240389,0.1151269134836406,10795.0,0.139093935446519,0.1564254903556604,0.1472514843899636,12287.0,0.1441018766756032,0.1745271531780177,0.157861889202981,12319.0,0.1066881115132019,0.0863715277777777,0.095460814295137,9216.0,,,,,0.1553140096618357,0.1443106156953691,0.1496102687400628,13367.0,,,,,,,,,0.1422349357446546,0.1422769682590295,0.141739967211885,86744.0,0.1461821849183593,0.1468574195333394,0.1460482781619313,86744.0
DefaultAug+S&P,ResNet50,In-Distribution,2024-09-05 02:36:10.544173,2655.4345943927765,6,0.1491861108549294,0.8499911427497864,0.1928597913025054,0.2203061656683003,0.2056713551375472,16527.0,0.1377743484224965,0.1313659772745851,0.1344938695233711,12233.0,0.1242908173986131,0.1095877721167207,0.1164771328705755,10795.0,0.1422350104984835,0.1488565150158704,0.1454704525570667,12287.0,0.1465060980286875,0.1550450523581459,0.1506546773939107,12319.0,0.1068493150684931,0.0973307291666666,0.1018681505877008,9216.0,,,,,0.1512265978050355,0.1401960050871549,0.1455025428005745,13367.0,,,,,,,,,0.1431059969320449,0.143241173812492,0.1428768829815352,86744.0,0.1472508319315267,0.1491861108549294,0.1478929312504761,86744.0
DefaultAug+S&P,ResNet50,In-Distribution,2024-09-05 03:25:42.118847,2928.3640966415405,7,0.1477220326477912,0.8927100896835327,0.1866410115448048,0.205421431596781,0.1955814154448829,16527.0,0.1386534072383436,0.1390501103572304,0.1388514754499816,12233.0,0.1238804234035128,0.0986567855488652,0.109839108910891,10795.0,0.1434785814347858,0.1583787743143159,0.1505609284332688,12287.0,0.1373555840821566,0.1216007792840327,0.1289989235737351,12319.0,0.1066807499339846,0.0876736111111111,0.096247766527695,9216.0,,,,,0.1534577527802633,0.1796214558240443,0.1655120118567538,13367.0,,,,,,,,,0.1414496443454073,0.1414861354337686,0.1407988043138869,86744.0,0.1453414258322334,0.1477220326477912,0.145890847538771,86744.0
DefaultAug+S&P,ResNet50,In-Distribution,2024-09-05 03:52:08.277149,1542.9224424362185,8,0.1453933413262012,1.0786092281341553,0.1876888217522658,0.1804320203303684,0.1839888940305414,16527.0,0.1415886729061675,0.1446905910242786,0.1431228268779817,12233.0,0.125390625,0.1189439555349698,0.1220822438792488,10795.0,0.1397462277091906,0.132660535525352,0.1361112270886393,12287.0,0.1439578883124809,0.1531780176962416,0.1484249026625241,12319.0,0.1028019135019037,0.1142578125,0.1082275553728352,9216.0,,,,,0.1531297709923664,0.1500710705468691,0.1515849926323346,13367.0,,,,,,,,,0.1420434171677678,0.1420334290225828,0.1419346632205864,86744.0,0.1460892557330608,0.1453933413262012,0.1456468526409643,86744.0
DefaultAug+S&P,ResNet50,In-Distribution,2024-09-05 04:46:26.965135,3215.2458267211914,9,0.1475491100249008,0.8039282560348511,0.1938395248631652,0.2014279663580807,0.1975609032372926,16527.0,0.1388486140724946,0.1330826453036867,0.1359044995408631,12233.0,0.1235158311345646,0.1387679481241315,0.1306984251625005,10795.0,0.1382804138423118,0.1577276796614307,0.1473652193749525,12287.0,0.1444267515923566,0.1472522120301972,0.1458257968567868,12319.0,0.1044272136068034,0.0906032986111111,0.0970253311643039,9216.0,,,,,0.1576350260183025,0.1314431061569537,0.143352506833109,13367.0,,,,,,,,,0.1429961964471427,0.1429006937493702,0.1425332403099726,86744.0,0.1473672820205854,0.1475491100249008,0.1470531811203368,86744.0
DefaultAug+S&P,ResNet50,In-Distribution,2024-09-05 05:37:14.835338,3003.593094110489,10,0.1475721663746195,0.8029181957244873,0.1895379492160399,0.1653052580625643,0.1765941630845803,16527.0,0.1452356926625342,0.1647183846971307,0.1543647297659631,12233.0,0.1230105760345004,0.1109773043075497,0.1166845232297652,10795.0,0.143952802359882,0.1588670953039798,0.1510426741981661,12287.0,0.1422687206524425,0.1401899504829937,0.141221686155859,12319.0,0.1094079101333957,0.1014539930555555,0.1052809368314379,9216.0,,,,,0.1549198452183526,0.1677264906112067,0.1610690039153705,13367.0,,,,,,,,,0.1440476423253067,0.1441769252172829,0.1437511024544489,86744.0,0.1479933414007091,0.1475721663746195,0.1473920349487386,86744.0
DefaultAug+S&P,ResNet50,In-Distribution,2024-09-05 06:25:44.994388,2866.993668317795,11,0.1484828921885087,0.8919840455055237,0.1899881516587677,0.1940461063713922,0.1919956895261472,16527.0,0.1401778638725015,0.1301397858252268,0.1349724459516744,12233.0,0.1221466977782286,0.1115331171838814,0.1165988766221189,10795.0,0.1441619172877393,0.1605762187678033,0.1519270011165441,12287.0,0.1440273651993878,0.1298806721324782,0.1365886972852996,12319.0,0.100831463639963,0.0828993055555555,0.0909902935747037,9216.0,,,,,0.1560388254085268,0.1900201989975312,0.1713611064260415,13367.0,,,,,,,,,0.1424817549778735,0.142727914976267,0.1420620157860756,86744.0,0.1467989478405438,0.1484828921885087,0.1471159877918841,86744.0
DefaultAug+S&P,ResNet50,In-Distribution,2024-09-05 07:18:57.713218,3148.473475933075,12,0.1476298072489163,0.8041355013847351,0.1881687242798354,0.221334785502511,0.203408680179053,16527.0,0.1444625407166123,0.1450175754107741,0.144739525965814,12233.0,0.121046578493387,0.1169986104678091,0.1189881765509444,10795.0,0.1408152099575981,0.1675754862863188,0.1530343007915567,12287.0,0.142288961038961,0.1423005114051465,0.1422947359876618,12319.0,0.1038811323171512,0.0879991319444444,0.0952828526111731,9216.0,,,,,0.15120414592013,0.1113189197276875,0.1282316442605997,13367.0,,,,,,,,,0.1416953275319536,0.1417921458206702,0.140854273763829,86744.0,0.1457777034876473,0.1476298072489163,0.1457423188840765,86744.0
DefaultAug+S&P,ResNet50,In-Distribution,2024-09-05 08:14:16.187549,3275.141092777252,13,0.1452434750530296,0.8880183696746826,0.1879010799812177,0.1452774248199915,0.1638628220440198,16527.0,0.1457965383256799,0.1349628055260361,0.140170649912977,12233.0,0.1260302197802197,0.101991662806855,0.1127438431211919,10795.0,0.1400317502315121,0.1722959225197363,0.1544973544973545,12287.0,0.1448729314420803,0.1591849987823687,0.1516921291819764,12319.0,0.101720130172013,0.1187065972222222,0.1095588603475039,9216.0,,,,,0.1568600400082775,0.1701204458741677,0.1632213608957795,13367.0,,,,,,,,,0.143316098563,0.1432199796501967,0.142249574285829,86744.0,0.147432987373197,0.1452434750530296,0.1452367533081074,86744.0
DefaultAug+S&P,ResNet50,In-Distribution,2024-09-05 08:56:58.904974,2519.551739692688,14,0.1463501798395278,0.869681715965271,0.1920084121976866,0.1657288074060628,0.1779033515198753,16527.0,0.1421738413326736,0.1409302705795798,0.1415493246849213,12233.0,0.1252591380250954,0.1063455303381195,0.1150300601202404,10795.0,0.1420094672978198,0.1733539513306747,0.1561240196437733,12287.0,0.1433502906976744,0.1280948128906567,0.1352938654777725,12319.0,0.1055138109852894,0.1081814236111111,0.1068309670506295,9216.0,,,,,0.1512204424103737,0.1779756115807585,0.1635107735661019,13367.0,,,,,,,,,0.1430764861352304,0.1429443439624233,0.1423203374376163,86744.0,0.1472066023693572,0.1463501798395278,0.1460471587570094,86744.0
DefaultAug+S&P,ResNet50,In-Distribution,2024-09-05 09:50:00.356687,3136.8383328914642,15,0.14759522272433828,0.897088348865509,0.1884323940326782,0.19259393719368306,0.19049043957030432,16527.0,0.14307630197819943,0.14485408321752635,0.14395970428142008,12233.0,0.12128712871287128,0.09078276980083372,0.103841059602649,10795.0,0.1435587231239145,0.195084235370717,0.16540160088324593,12287.0,0.14227065760991267,0.15472035067781476,0.14823456214030178,12319.0,0.10508562532433835,0.087890625,0.09572205152446231,9216.0,,,,,0.1514889943892965,0.13129348395301862,0.1406700865662071,13367.0,,,,,,,,,0.14217140359588726,0.1424599264590848,0.1411885006526558,86744.0,0.14622025622341273,0.14759522272433828,0.14584479976369988,86744.0
