strategy,model,evaluation_set,date_finished,training_time,fold,f1-score(weighted avg),accuracy,loss,precision(0),recall(0),f1-score(0),support(0),precision(1),recall(1),f1-score(1),support(1),precision(2),recall(2),f1-score(2),support(2),precision(3),recall(3),f1-score(3),support(3),precision(macro avg),recall(macro avg),f1-score(macro avg),support(macro avg),precision(weighted avg),recall(weighted avg),support(weighted avg)
Baseline,LSTM,In-Distribution,2024-12-14 12:47:25.169841,3206.642242193222,1,0.9063383957736816,0.9064473684210528,0.2834327518939972,0.9134408602150538,0.8942105263157895,0.9037234042553192,1900.0,0.9564315352697096,0.9705263157894736,0.9634273772204808,1900.0,0.8818813468733298,0.868421052631579,0.8750994431185363,1900.0,0.8737764039155075,0.8926315789473684,0.8831033585003905,1900.0,0.9063825365684002,0.9064473684210528,0.9063383957736816,7600.0,0.9063825365684,0.9064473684210528,7600.0
Baseline,LSTM,In-Distribution,2024-12-14 13:40:57.293702,3202.0813422203064,2,0.9070471846843666,0.9069736842105264,0.2828960418701172,0.9088016967126192,0.9021052631578949,0.9054410987849976,1900.0,0.9618441971383148,0.9552631578947368,0.9585423818325852,1900.0,0.881293057763646,0.8752631578947369,0.8782677581198838,1900.0,0.8768041237113402,0.8952631578947369,0.8859375,1900.0,0.90718576883148,0.9069736842105264,0.9070471846843666,7600.0,0.90718576883148,0.9069736842105264,7600.0
Baseline,LSTM,In-Distribution,2024-12-14 14:39:57.599542,3530.152673959732,3,0.9022617684939496,0.9021052631578949,0.2916280329227447,0.9385569334836528,0.8763157894736842,0.9063690800217746,1900.0,0.9568607068607068,0.9689473684210528,0.9628661087866108,1900.0,0.865625,0.8747368421052631,0.8701570680628271,1900.0,0.851664984863774,0.888421052631579,0.8696548171045854,1900.0,0.9031769063020334,0.9021052631578949,0.9022617684939496,7600.0,0.9031769063020334,0.9021052631578949,7600.0
Baseline,LSTM,In-Distribution,2024-12-14 15:55:38.720105,4530.923614025116,4,0.9071368025191294,0.9072368421052632,0.2881454229354858,0.914882226980728,0.8994736842105263,0.907112526539278,1900.0,0.9577685088633994,0.966842105263158,0.9622839182818228,1900.0,0.8855748373101953,0.8594736842105263,0.87232905982906,1900.0,0.8710659898477158,0.9031578947368422,0.8868217054263566,1900.0,0.9073228907505096,0.9072368421052632,0.9071368025191294,7600.0,0.9073228907505096,0.9072368421052632,7600.0
Baseline,LSTM,In-Distribution,2024-12-14 16:53:05.270704,3436.575702905655,5,0.905328773695063,0.9053947368421053,0.2982420921325683,0.92170626349892,0.8984210526315789,0.9099147121535182,1900.0,0.9572916666666668,0.9673684210526317,0.962303664921466,1900.0,0.8816503800217155,0.8547368421052631,0.8679850347407803,1900.0,0.8620342396777442,0.9010526315789472,0.8811116829644878,1900.0,0.9056706374662616,0.9053947368421053,0.905328773695063,7600.0,0.9056706374662616,0.9053947368421053,7600.0
Baseline,LSTM,In-Distribution,2024-12-14 17:50:51.985965,3456.595857143402,6,0.9078075078351444,0.9077631578947368,0.2795952260494232,0.9245385450597176,0.8963157894736842,0.9102084446819882,1900.0,0.9621650026274304,0.9636842105263158,0.9629240073626084,1900.0,0.8835579514824797,0.8626315789473684,0.8729693741677762,1900.0,0.863,0.9084210526315788,0.8851282051282052,1900.0,0.9083153747924068,0.9077631578947368,0.9078075078351444,7600.0,0.9083153747924068,0.9077631578947368,7600.0
Baseline,LSTM,In-Distribution,2024-12-14 19:00:16.779879,4154.443960905075,7,0.9072515391827328,0.9075,0.2817703485488891,0.9140295358649788,0.9121052631578948,0.9130663856691252,1900.0,0.9539575788929124,0.9705263157894736,0.962170623532481,1900.0,0.9068710959682,0.8405263157894737,0.8724392242556679,1900.0,0.8572139303482587,0.906842105263158,0.8813299232736573,1900.0,0.9080180352685876,0.9075,0.9072515391827328,7600.0,0.9080180352685876,0.9075,7600.0
Baseline,LSTM,In-Distribution,2024-12-14 19:54:17.462202,3230.329821109772,8,0.9080584290656238,0.9080263157894736,0.2830708026885986,0.9429530201342282,0.8873684210526316,0.9143167028199568,1900.0,0.9540289256198348,0.9721052631578948,0.9629822732012512,1900.0,0.8775944651410325,0.8678947368421053,0.8727176501720032,1900.0,0.8607911867801703,0.9047368421052632,0.8822170900692842,1900.0,0.9088418994188164,0.9080263157894736,0.9080584290656238,7600.0,0.9088418994188164,0.9080263157894736,7600.0
Baseline,LSTM,In-Distribution,2024-12-14 20:52:39.264860,3491.631808996201,9,0.9068107089338004,0.9069736842105264,0.294468879699707,0.9287671232876712,0.8921052631578947,0.9100671140939598,1900.0,0.9511819116135662,0.9742105263157896,0.9625585023400935,1900.0,0.8986072423398329,0.8489473684210527,0.8730717185385657,1900.0,0.8525073746312685,0.9126315789473683,0.8815455007625826,1900.0,0.9077659129680846,0.9069736842105264,0.9068107089338004,7600.0,0.9077659129680846,0.9069736842105264,7600.0
Baseline,LSTM,In-Distribution,2024-12-14 21:51:39.517104,3530.2247018814087,10,0.901456874436112,0.9014473684210528,0.2965017855167389,0.8968046097433211,0.9010526315789472,0.8989236019952743,1900.0,0.9618239660657476,0.9547368421052632,0.9582673005810882,1900.0,0.8866374589266156,0.8521052631578947,0.8690284487385938,1900.0,0.8620515411824153,0.8978947368421053,0.8796081464294921,1900.0,0.901829393979525,0.9014473684210528,0.901456874436112,7600.0,0.9018293939795248,0.9014473684210528,7600.0
