strategy,model,evaluation_set,date_finished,training_time,fold,accuracy,loss,precision(0),recall(0),f1-score(0),support(0),precision(1),recall(1),f1-score(1),support(1),precision(2),recall(2),f1-score(2),support(2),precision(3),recall(3),f1-score(3),support(3),precision(4),recall(4),f1-score(4),support(4),precision(5),recall(5),f1-score(5),support(5),precision(6),recall(6),f1-score(6),support(6),precision(7),recall(7),f1-score(7),support(7),precision(8),recall(8),f1-score(8),support(8),precision(9),recall(9),f1-score(9),support(9),precision(macro avg),recall(macro avg),f1-score(macro avg),support(macro avg),precision(weighted avg),recall(weighted avg),f1-score(weighted avg),support(weighted avg),severity
Mixed,Xception,Fog 1,2024-11-05 19:34:56.794364,2636.490400314331,9,0.8334,0.5016124248504639,0.8116343490304709,0.879,0.843975036005761,1000.0,0.9470899470899472,0.895,0.9203084832904884,1000.0,0.769990128331688,0.78,0.7749627421758569,1000.0,0.7087378640776699,0.657,0.6818889465490399,1000.0,0.7873510540788268,0.859,0.8216164514586323,1000.0,0.7585170340681363,0.757,0.7577577577577578,1000.0,0.8246575342465754,0.903,0.8620525059665871,1000.0,0.8934010152284264,0.88,0.8866498740554157,1000.0,0.9090909090909092,0.89,0.89944416371905,1000.0,0.9434389140271492,0.834,0.8853503184713376,1000.0,0.8353908749269798,0.8333999999999999,0.8334006279449927,10000.0,0.8353908749269798,0.8334,0.8334006279449926,10000.0,Highest
Mixed,Xception,Fog 2,2024-11-05 19:35:08.445124,2636.490400314331,9,0.8053,0.5838014483451843,0.7831655992680695,0.856,0.8179646440516005,1000.0,0.95372460496614,0.845,0.8960763520678686,1000.0,0.7504892367906066,0.767,0.7586547972304649,1000.0,0.6238779174147218,0.695,0.6575212866603596,1000.0,0.7124075595727198,0.867,0.7821380243572396,1000.0,0.7967479674796748,0.686,0.7372380440623322,1000.0,0.8178368121442126,0.862,0.8393378773125608,1000.0,0.9200913242009132,0.806,0.8592750533049042,1000.0,0.8437792329279701,0.902,0.8719188013533109,1000.0,0.9492574257425742,0.767,0.8484513274336283,1000.0,0.8151377680507602,0.8053000000000001,0.8068576207834269,10000.0,0.8151377680507602,0.8053,0.8068576207834269,10000.0,Highest
Mixed,Xception,Fog 3,2024-11-05 19:35:21.289591,2636.490400314331,9,0.7634,0.7234591841697693,0.7586529466791394,0.811,0.7839536007733203,1000.0,0.9508599508599508,0.774,0.8533627342888644,1000.0,0.7110675808031341,0.726,0.7184562097971301,1000.0,0.5267727930535456,0.728,0.6112510495382032,1000.0,0.673616680032077,0.84,0.7476635514018691,1000.0,0.7879581151832461,0.602,0.6825396825396826,1000.0,0.8053949903660886,0.836,0.8204121687929342,1000.0,0.9282115869017632,0.737,0.8216276477146042,1000.0,0.7722174288179465,0.895,0.8290875405280224,1000.0,0.9620786516853932,0.685,0.8002336448598132,1000.0,0.7876830724382284,0.7634000000000001,0.7668587830234443,10000.0,0.7876830724382285,0.7634,0.7668587830234443,10000.0,Highest
Mixed,Xception,Fog 4,2024-11-05 19:35:33.107613,2636.490400314331,9,0.7033,0.9292816519737244,0.7574511819116135,0.737,0.7470856563608718,1000.0,0.9614835948644792,0.674,0.792475014697237,1000.0,0.6747720364741642,0.666,0.6703573225968797,1000.0,0.4210526315789473,0.76,0.5418894830659536,1000.0,0.6294536817102138,0.795,0.7026071586389748,1000.0,0.7510668563300142,0.528,0.6200822078684675,1000.0,0.7715686274509804,0.787,0.7792079207920792,1000.0,0.930835734870317,0.646,0.7626918536009445,1000.0,0.6935866983372921,0.876,0.7741935483870969,1000.0,0.9543147208121828,0.564,0.7089880578252672,1000.0,0.7545585764340204,0.7033,0.7099578223833772,10000.0,0.7545585764340205,0.7033,0.709957822383377,10000.0,Highest
Mixed,Xception,Fog 5,2024-11-05 19:35:45.544002,2636.490400314331,9,0.5422,1.5855122804641724,0.7489823609226595,0.552,0.6355785837651122,1000.0,0.9653465346534652,0.39,0.5555555555555555,1000.0,0.6073697585768743,0.478,0.5349748181309457,1000.0,0.2568081063964534,0.811,0.3900913900913901,1000.0,0.5012285012285013,0.612,0.5511031067086898,1000.0,0.6544502617801047,0.375,0.4767959313413858,1000.0,0.6663124335812965,0.627,0.6460587326120557,1000.0,0.9456066945606696,0.452,0.6116373477672531,1000.0,0.5826351865955827,0.765,0.6614785992217899,1000.0,0.9278350515463918,0.36,0.5187319884726224,1000.0,0.6856574889842,0.5422,0.55820060536668,10000.0,0.6856574889842,0.5422,0.5582006053666799,10000.0,Highest
Mixed,Xception,Frost 1,2024-11-05 19:35:56.416801,2636.490400314331,9,0.8046,0.5893268585205078,0.7129109863672815,0.889,0.7912772585669782,1000.0,0.9239583333333332,0.887,0.9051020408163266,1000.0,0.7849462365591398,0.73,0.7564766839378239,1000.0,0.6354066985645933,0.664,0.6493887530562347,1000.0,0.8112617309697602,0.778,0.7942827973455844,1000.0,0.750775594622544,0.726,0.7381799694966954,1000.0,0.8330039525691699,0.843,0.8379721669980118,1000.0,0.8330188679245283,0.883,0.8572815533980583,1000.0,0.8896034297963559,0.83,0.858768753233316,1000.0,0.9199549041713642,0.816,0.8648648648648649,1000.0,0.8094840734878069,0.8046000000000001,0.8053594841713896,10000.0,0.8094840734878072,0.8046,0.8053594841713895,10000.0,Mid-Range
Mixed,Xception,Frost 2,2024-11-05 19:36:07.766555,2636.490400314331,9,0.7682,0.7008817195892334,0.6406926406926406,0.888,0.7443419949706621,1000.0,0.9154175588865096,0.855,0.8841778697001035,1000.0,0.7735191637630662,0.666,0.7157442235357335,1000.0,0.560200668896321,0.67,0.610200364298725,1000.0,0.8008800880088008,0.728,0.7627029858564693,1000.0,0.7379862700228833,0.645,0.6883671291355389,1000.0,0.8063872255489022,0.808,0.8071928071928073,1000.0,0.8095693779904306,0.846,0.8273838630806846,1000.0,0.844700944386149,0.805,0.8243727598566307,1000.0,0.9178571428571428,0.771,0.8380434782608697,1000.0,0.7807211081052847,0.7682,0.7702527475888225,10000.0,0.7807211081052846,0.7682,0.7702527475888226,10000.0,Highest
Mixed,Xception,Frost 3,2024-11-05 19:36:18.256204,2636.490400314331,9,0.7318,0.8241435289382935,0.6144492131616596,0.859,0.7164303586321936,1000.0,0.911699779249448,0.826,0.8667366211962223,1000.0,0.7795698924731183,0.58,0.6651376146788991,1000.0,0.4773049645390071,0.673,0.5585062240663901,1000.0,0.7408602150537634,0.689,0.7139896373056994,1000.0,0.7617765814266487,0.566,0.6494549627079746,1000.0,0.7450611476952023,0.792,0.7678138633058653,1000.0,0.8055271238485159,0.787,0.7961557916034396,1000.0,0.7962962962962963,0.817,0.8065153010858834,1000.0,0.9078455790784558,0.729,0.8086522462562395,1000.0,0.7540390792822115,0.7318,0.7349392620838808,10000.0,0.7540390792822116,0.7318,0.7349392620838806,10000.0,Highest
Mixed,Xception,Frost 4,2024-11-05 19:36:28.904706,2636.490400314331,9,0.7357,0.8081983923912048,0.6254519161243673,0.865,0.7259756609315989,1000.0,0.9165714285714286,0.802,0.8554666666666667,1000.0,0.7835325365205843,0.59,0.6731317741015401,1000.0,0.4832501781895937,0.678,0.5642946317103621,1000.0,0.7361963190184049,0.72,0.7280080889787663,1000.0,0.7776183644189383,0.542,0.63877430760165,1000.0,0.7306306306306306,0.811,0.7687203791469195,1000.0,0.8324607329842932,0.795,0.8132992327365729,1000.0,0.7902298850574713,0.825,0.8072407045009786,1000.0,0.9089775561097256,0.729,0.8091009988901221,1000.0,0.7584919547625437,0.7357000000000001,0.7384012445265176,10000.0,0.7584919547625438,0.7357,0.7384012445265178,10000.0,Highest
Mixed,Xception,Frost 5,2024-11-05 19:36:41.772695,2636.490400314331,9,0.702,0.9412014484405518,0.6215613382899629,0.836,0.7130063965884861,1000.0,0.927860696517413,0.746,0.8270509977827052,1000.0,0.77526395173454,0.514,0.6181599518941672,1000.0,0.4427730542838456,0.677,0.5353894820086991,1000.0,0.6530612244897959,0.704,0.6775745909528391,1000.0,0.8191489361702128,0.462,0.5907928388746804,1000.0,0.6461661341853036,0.809,0.7184724689165187,1000.0,0.8472222222222222,0.732,0.7854077253218884,1000.0,0.7453580901856764,0.843,0.7911778507742845,1000.0,0.9051948051948052,0.697,0.7875706214689265,1000.0,0.7383610453273778,0.702,0.7044602924583195,10000.0,0.7383610453273779,0.702,0.7044602924583194,10000.0,Highest
Mixed,Xception,Frosted Glass Blur 1,2024-11-05 19:36:52.605016,2636.490400314331,9,0.7399,0.8428225517272949,0.7444649446494465,0.807,0.7744721689059502,1000.0,0.9388020833333334,0.721,0.8156108597285069,1000.0,0.8166431593794076,0.579,0.6775892334698653,1000.0,0.6207317073170732,0.509,0.5593406593406594,1000.0,0.6857142857142857,0.792,0.7350348027842227,1000.0,0.6056910569105691,0.745,0.6681614349775785,1000.0,0.6335616438356164,0.925,0.7520325203252033,1000.0,0.7712717291857274,0.843,0.8055422838031533,1000.0,0.905897114178168,0.722,0.803561491374513,1000.0,0.8552036199095022,0.756,0.802547770700637,1000.0,0.7577981344413128,0.7398999999999999,0.7393893225410288,10000.0,0.7577981344413128,0.7399,0.739389322541029,10000.0,Mid-Range
Mixed,Xception,Frosted Glass Blur 2,2024-11-05 19:37:03.478674,2636.490400314331,9,0.7413,0.8348646759986877,0.7497691597414589,0.812,0.7796447431589054,1000.0,0.9457364341085271,0.732,0.8252536640360766,1000.0,0.7947295423023578,0.573,0.6658919233004067,1000.0,0.62004662004662,0.532,0.5726587728740581,1000.0,0.6825259515570934,0.789,0.7319109461966605,1000.0,0.6056105610561056,0.734,0.6636528028933092,1000.0,0.6429567642956764,0.922,0.7576006573541495,1000.0,0.774555659494855,0.828,0.8003866602223297,1000.0,0.9060568603213844,0.733,0.810392482034273,1000.0,0.8574660633484162,0.758,0.8046709129511677,1000.0,0.7579453616272495,0.7413000000000001,0.7412063565021336,10000.0,0.7579453616272496,0.7413,0.7412063565021335,10000.0,Mid-Range
Mixed,Xception,Frosted Glass Blur 3,2024-11-05 19:37:15.850791,2636.490400314331,9,0.7501,0.7938774824142456,0.7573739295908658,0.796,0.7762067284251585,1000.0,0.9381443298969072,0.728,0.8198198198198198,1000.0,0.7912932138284251,0.618,0.6939921392476137,1000.0,0.6088888888888889,0.548,0.5768421052631578,1000.0,0.6691116544417278,0.821,0.7373147732375394,1000.0,0.6379310344827587,0.74,0.6851851851851852,1000.0,0.6765799256505576,0.91,0.7761194029850748,1000.0,0.7885167464114833,0.824,0.8058679706601467,1000.0,0.8990719257540604,0.775,0.8324382384532761,1000.0,0.8686987104337632,0.741,0.7997841338370211,1000.0,0.7635610359379438,0.7501,0.7503570497113994,10000.0,0.7635610359379438,0.7501,0.7503570497113993,10000.0,Mid-Range
Mixed,Xception,Frosted Glass Blur 4,2024-11-05 19:37:26.730038,2636.490400314331,9,0.6456,1.2017468214035034,0.6734875444839857,0.757,0.7128060263653483,1000.0,0.929368029739777,0.5,0.6501950585175552,1000.0,0.7754010695187166,0.435,0.5573350416399743,1000.0,0.5200471698113207,0.441,0.4772727272727272,1000.0,0.5846394984326019,0.746,0.6555360281195078,1000.0,0.5218800648298217,0.644,0.576544315129812,1000.0,0.5083240843507214,0.916,0.6538187009279086,1000.0,0.7097701149425287,0.741,0.7250489236790607,1000.0,0.8897168405365127,0.597,0.7145421903052064,1000.0,0.7527716186252772,0.679,0.7139852786540485,1000.0,0.6865406035271263,0.6456,0.6437084290611148,10000.0,0.6865406035271264,0.6456,0.6437084290611149,10000.0,Highest
Mixed,Xception,Frosted Glass Blur 5,2024-11-05 19:37:37.455017,2636.490400314331,9,0.6619,1.1276880502700806,0.70817843866171,0.762,0.7341040462427745,1000.0,0.9344569288389512,0.499,0.6505867014341591,1000.0,0.7689822294022617,0.476,0.5880172946263125,1000.0,0.5026014568158168,0.483,0.4926058133605303,1000.0,0.56,0.77,0.648421052631579,1000.0,0.5670464504820333,0.647,0.6043904717421766,1000.0,0.5472273004265692,0.898,0.6800454373343431,1000.0,0.7572916666666667,0.727,0.7418367346938777,1000.0,0.8580402010050251,0.683,0.7605790645879733,1000.0,0.7513935340022296,0.674,0.7105956773853452,1000.0,0.6955218206301264,0.6619,0.6611182294039072,10000.0,0.6955218206301265,0.6619,0.6611182294039071,10000.0,Mid-Range
Mixed,Xception,Gaussian Blur 1,2024-11-05 19:37:48.121790,2636.490400314331,9,0.8375,0.5001437067985535,0.8391136801541426,0.871,0.8547595682041217,1000.0,0.9290060851926978,0.916,0.9224572004028196,1000.0,0.7797797797797797,0.779,0.7793896948474237,1000.0,0.7401847575057737,0.641,0.6870310825294749,1000.0,0.8297029702970297,0.838,0.8338308457711442,1000.0,0.7195671776375113,0.798,0.7567567567567568,1000.0,0.8356417359187442,0.905,0.8689390302448392,1000.0,0.8471575023299162,0.909,0.8769898697539796,1000.0,0.9331896551724138,0.866,0.8983402489626556,1000.0,0.9383259911894272,0.852,0.8930817610062893,1000.0,0.8391669335177436,0.8375,0.8371576058479505,10000.0,0.8391669335177435,0.8375,0.8371576058479504,10000.0,Lowest
Mixed,Xception,Gaussian Blur 2,2024-11-05 19:37:59.487384,2636.490400314331,9,0.8228,0.5435882210731506,0.8331697742885181,0.849,0.8410104011887072,1000.0,0.9331210191082804,0.879,0.9052523171987642,1000.0,0.7414772727272727,0.783,0.7616731517509726,1000.0,0.66189111747851,0.693,0.6770884220810943,1000.0,0.7782888684452622,0.846,0.8107331097268806,1000.0,0.7321083172147002,0.757,0.7443461160275319,1000.0,0.8769074262461851,0.862,0.8693898134140191,1000.0,0.8597014925373134,0.864,0.8618453865336658,1000.0,0.9109518935516888,0.89,0.900354071825999,1000.0,0.9470588235294116,0.805,0.8702702702702704,1000.0,0.8274676005127143,0.8228,0.8241963060017905,10000.0,0.8274676005127143,0.8228,0.8241963060017906,10000.0,Lowest
Mixed,Xception,Gaussian Blur 3,2024-11-05 19:38:09.624140,2636.490400314331,9,0.8023,0.604140043258667,0.8272095332671301,0.833,0.8300946686596911,1000.0,0.9274891774891776,0.857,0.890852390852391,1000.0,0.6967285587975243,0.788,0.7395588925387142,1000.0,0.6030795551753636,0.705,0.6500691562932227,1000.0,0.7443946188340808,0.83,0.784869976359338,1000.0,0.7256281407035176,0.722,0.7238095238095237,1000.0,0.8820960698689956,0.808,0.8434237995824635,1000.0,0.8636363636363636,0.836,0.8495934959349594,1000.0,0.9022403258655805,0.886,0.8940464177598386,1000.0,0.9558638083228248,0.758,0.845510317902956,1000.0,0.8128366151960558,0.8023,0.8051828639693099,10000.0,0.8128366151960558,0.8023,0.8051828639693098,10000.0,Lowest
Mixed,Xception,Gaussian Blur 4,2024-11-05 19:38:21.032615,2636.490400314331,9,0.7772,0.6900587677955627,0.8309128630705395,0.801,0.8156822810590633,1000.0,0.927683615819209,0.821,0.8710875331564986,1000.0,0.6506622516556292,0.786,0.7119565217391305,1000.0,0.5446361590397599,0.726,0.6223746249464209,1000.0,0.7267857142857143,0.814,0.7679245283018867,1000.0,0.7133825079030558,0.677,0.6947152385838892,1000.0,0.8913813459268005,0.755,0.8175419599350299,1000.0,0.8652406417112299,0.809,0.8361757105943153,1000.0,0.8606476938174681,0.877,0.8687469044081229,1000.0,0.954054054054054,0.706,0.8114942528735632,1000.0,0.7965386847283459,0.7772,0.7817699555597921,10000.0,0.796538684728346,0.7772,0.7817699555597921,10000.0,Lowest
Mixed,Xception,Gaussian Blur 5,2024-11-05 19:38:32.048800,2636.490400314331,9,0.7011,0.953906238079071,0.8076923076923077,0.735,0.7696335078534031,1000.0,0.9296346414073072,0.687,0.7901092581943646,1000.0,0.5635439360929557,0.776,0.652923853596971,1000.0,0.4220489977728285,0.758,0.542203147353362,1000.0,0.6690265486725664,0.756,0.7098591549295774,1000.0,0.6686967113276492,0.549,0.6029654036243822,1000.0,0.8854625550660793,0.603,0.7174301011302796,1000.0,0.8574821852731591,0.722,0.7839305103148752,1000.0,0.7779799818016379,0.855,0.8146736541210099,1000.0,0.9421487603305784,0.57,0.7102803738317757,1000.0,0.7523716625437069,0.7011000000000001,0.709400896495,10000.0,0.752371662543707,0.7011,0.7094008964950003,10000.0,Mid-Range
Mixed,Xception,Gaussian Noise 1,2024-11-05 19:38:45.189984,2636.490400314331,9,0.8214,0.5609170198440552,0.8425357873210634,0.824,0.833164812942366,1000.0,0.9250513347022588,0.901,0.9128672745694022,1000.0,0.7871657754010695,0.736,0.7607235142118862,1000.0,0.7404202719406675,0.599,0.662244333886125,1000.0,0.7933014354066986,0.829,0.8107579462102691,1000.0,0.7146788990825688,0.779,0.7454545454545454,1000.0,0.7532258064516129,0.934,0.8339285714285715,1000.0,0.8362790697674418,0.899,0.8665060240963856,1000.0,0.9220085470085472,0.863,0.8915289256198348,1000.0,0.925925925925926,0.85,0.8863399374348279,1000.0,0.8240592853007854,0.8214,0.8203515885854212,10000.0,0.8240592853007853,0.8214,0.8203515885854212,10000.0,Lowest
Mixed,Xception,Gaussian Noise 2,2024-11-05 19:38:55.633284,2636.490400314331,9,0.794,0.6407957077026367,0.8444206008583691,0.787,0.8146997929606625,1000.0,0.933972310969116,0.877,0.9045899948427024,1000.0,0.776878612716763,0.672,0.7206434316353887,1000.0,0.6938775510204082,0.544,0.609865470852018,1000.0,0.7415525114155251,0.812,0.7751789976133651,1000.0,0.6963448922211809,0.743,0.7189163038219641,1000.0,0.6650071123755334,0.935,0.7772236076475478,1000.0,0.817174515235457,0.885,0.8497359577532405,1000.0,0.9248618784530388,0.837,0.878740157480315,1000.0,0.9177489177489178,0.848,0.8814968814968815,1000.0,0.801183890301431,0.794,0.7931090596104087,10000.0,0.801183890301431,0.794,0.7931090596104087,10000.0,Mid-Range
Mixed,Xception,Gaussian Noise 3,2024-11-05 19:39:08.084211,2636.490400314331,9,0.7584,0.7687091827392578,0.8357705286839145,0.743,0.7866596082583378,1000.0,0.93058568329718,0.858,0.8928199791883454,1000.0,0.7600518806744487,0.586,0.6617730095990966,1000.0,0.655440414507772,0.506,0.5711060948081265,1000.0,0.6930783242258652,0.761,0.7254528122020973,1000.0,0.6958710976837865,0.691,0.6934269944806823,1000.0,0.5625,0.936,0.7027027027027029,1000.0,0.7936936936936937,0.881,0.8350710900473934,1000.0,0.9247058823529412,0.786,0.8497297297297296,1000.0,0.8979591836734694,0.836,0.865872604867944,1000.0,0.7749656688793072,0.7584,0.7584614625884456,10000.0,0.7749656688793071,0.7584,0.7584614625884456,10000.0,Mid-Range
Mixed,Xception,Gaussian Noise 4,2024-11-05 19:39:18.969936,2636.490400314331,9,0.7414,0.8354527354240417,0.8368544600938967,0.713,0.7699784017278619,1000.0,0.9274725274725276,0.844,0.8837696335078533,1000.0,0.7588152327221439,0.538,0.6296079578700996,1000.0,0.6273764258555133,0.495,0.5533817775293459,1000.0,0.6645907473309609,0.747,0.7033898305084746,1000.0,0.6753507014028056,0.674,0.6746746746746747,1000.0,0.542840713053479,0.944,0.6893026652062797,1000.0,0.7837338262476895,0.848,0.8146013448607109,1000.0,0.9142857142857144,0.768,0.8347826086956521,1000.0,0.8808777429467085,0.843,0.86152273888605,1000.0,0.761219809141144,0.7414,0.7415011633467002,10000.0,0.761219809141144,0.7414,0.7415011633467002,10000.0,Mid-Range
