strategy,model,evaluation_set,date_finished,training_time,fold,accuracy,loss,precision(0),recall(0),f1-score(0),support(0),precision(1),recall(1),f1-score(1),support(1),precision(2),recall(2),f1-score(2),support(2),precision(3),recall(3),f1-score(3),support(3),precision(4),recall(4),f1-score(4),support(4),precision(5),recall(5),f1-score(5),support(5),precision(6),recall(6),f1-score(6),support(6),precision(7),recall(7),f1-score(7),support(7),precision(8),recall(8),f1-score(8),support(8),precision(9),recall(9),f1-score(9),support(9),precision(macro avg),recall(macro avg),f1-score(macro avg),support(macro avg),precision(weighted avg),recall(weighted avg),f1-score(weighted avg),support(weighted avg)
Mixed,ResNet50,Motion Blur 3,2024-11-04 12:10:24.681573,1949.316257953644,5,0.7513,0.8470322489738464,0.7671102661596958,0.807,0.7865497076023393,1000.0,0.9241223103057756,0.816,0.8667020711630377,1000.0,0.6214592274678111,0.724,0.6688221709006927,1000.0,0.5433070866141733,0.621,0.5795613625758284,1000.0,0.672231985940246,0.765,0.7156220767072029,1000.0,0.7090069284064665,0.614,0.6580921757770632,1000.0,0.7995735607675906,0.75,0.7739938080495354,1000.0,0.8733880422039859,0.745,0.8041014570966001,1000.0,0.8148148148148148,0.902,0.8561936402467963,1000.0,0.8994152046783626,0.769,0.82911051212938,1000.0,0.7624429427358923,0.7513000000000001,0.7538748982248477,10000.0,0.7624429427358923,0.7513,0.7538748982248475,10000.0
Mixed,ResNet50,Motion Blur 4,2024-11-04 12:10:31.491319,1949.316257953644,5,0.7497,0.8411935567855835,0.7658349328214972,0.798,0.781586679725759,1000.0,0.9296424452133796,0.806,0.863417246920193,1000.0,0.6296296296296297,0.731,0.6765386395187413,1000.0,0.5430809399477807,0.624,0.5807352256863657,1000.0,0.6742160278745645,0.774,0.7206703910614526,1000.0,0.7072879330943848,0.592,0.6445291235710398,1000.0,0.7906976744186046,0.748,0.7687564234326825,1000.0,0.8594470046082949,0.746,0.7987152034261242,1000.0,0.8122743682310469,0.9,0.8538899430740039,1000.0,0.8901601830663616,0.778,0.8303094983991463,1000.0,0.7602271138905545,0.7497000000000001,0.7519148374815509,10000.0,0.7602271138905543,0.7497,0.7519148374815509,10000.0
Mixed,ResNet50,Motion Blur 5,2024-11-04 12:10:38.277616,1949.316257953644,5,0.7124,0.9867829084396362,0.7224835371589841,0.768,0.7445467765390209,1000.0,0.9267080745341616,0.746,0.8265927977839335,1000.0,0.5736371033360456,0.705,0.6325706594885598,1000.0,0.5100840336134453,0.607,0.554337899543379,1000.0,0.6215106732348111,0.757,0.6825969341749324,1000.0,0.6855733662145499,0.556,0.6140254003313086,1000.0,0.7763713080168776,0.736,0.7556468172484598,1000.0,0.8664072632944229,0.668,0.7543760587238848,1000.0,0.7485232067510549,0.887,0.8118993135011441,1000.0,0.8897435897435897,0.694,0.7797752808988764,1000.0,0.7321042155897942,0.7123999999999999,0.7156367938233499,10000.0,0.7321042155897943,0.7124,0.7156367938233499,10000.0
Mixed,ResNet50,Pixelate 1,2024-11-04 12:10:45.193978,1949.316257953644,5,0.8215,0.64798504114151,0.8107109879963066,0.878,0.843014882381181,1000.0,0.9228362877997914,0.885,0.903522205206738,1000.0,0.8595641646489104,0.71,0.7776560788608982,1000.0,0.7065592635212888,0.614,0.657035848047084,1000.0,0.7620783956244302,0.836,0.7973295183595612,1000.0,0.7585470085470085,0.71,0.7334710743801652,1000.0,0.8511673151750972,0.875,0.8629191321499013,1000.0,0.7985865724381626,0.904,0.8480300187617261,1000.0,0.9122448979591836,0.894,0.9030303030303032,1000.0,0.8339449541284404,0.909,0.8698564593301437,1000.0,0.821623984783862,0.8215,0.8195865520507702,10000.0,0.821623984783862,0.8215,0.8195865520507702,10000.0
Mixed,ResNet50,Pixelate 2,2024-11-04 12:10:51.942201,1949.316257953644,5,0.8167,0.6600572466850281,0.8247619047619048,0.866,0.8448780487804878,1000.0,0.9262381454162276,0.879,0.9020010261672652,1000.0,0.8451219512195122,0.693,0.7615384615384615,1000.0,0.6860986547085202,0.612,0.6469344608879491,1000.0,0.7579042457091237,0.839,0.7963929757949691,1000.0,0.7423442449841605,0.703,0.7221366204417051,1000.0,0.8494094488188977,0.863,0.8561507936507937,1000.0,0.8024800708591674,0.906,0.8511038046031,1000.0,0.9019211324570272,0.892,0.89693313222725,1000.0,0.8301544050862852,0.914,0.8700618752974774,1000.0,0.8166434204020827,0.8167,0.8148131199389459,10000.0,0.8166434204020826,0.8167,0.8148131199389458,10000.0
Mixed,ResNet50,Pixelate 3,2024-11-04 12:10:58.676840,1949.316257953644,5,0.8165,0.6619443893432617,0.8262548262548263,0.856,0.8408644400785855,1000.0,0.9291754756871036,0.879,0.9033915724563206,1000.0,0.8589263420724095,0.688,0.7640199888950583,1000.0,0.6918103448275862,0.642,0.6659751037344398,1000.0,0.7429328621908127,0.841,0.7889305816135085,1000.0,0.75,0.702,0.7252066115702479,1000.0,0.8396871945259042,0.859,0.8492338111715274,1000.0,0.8156934306569343,0.894,0.8530534351145038,1000.0,0.8997975708502024,0.889,0.8943661971830986,1000.0,0.8213644524236984,0.915,0.8656575212866604,1000.0,0.8175642499489477,0.8165000000000001,0.8150699263103951,10000.0,0.8175642499489477,0.8165,0.8150699263103951,10000.0
Mixed,ResNet50,Pixelate 4,2024-11-04 12:11:05.700069,1949.316257953644,5,0.8063,0.6906507611274719,0.8338278931750742,0.843,0.8383888612630531,1000.0,0.9334787350054524,0.856,0.8930620761606678,1000.0,0.8462515883100381,0.666,0.7453833240067153,1000.0,0.667016806722689,0.635,0.6506147540983606,1000.0,0.7232758620689655,0.839,0.7768518518518517,1000.0,0.7387096774193549,0.687,0.7119170984455958,1000.0,0.8375125376128385,0.835,0.8362543815723584,1000.0,0.8106129917657823,0.886,0.8466316292403248,1000.0,0.8859390363815143,0.901,0.8934060485870104,1000.0,0.8054577464788732,0.915,0.8567415730337079,1000.0,0.8082082874940582,0.8062999999999999,0.8049251598259645,10000.0,0.8082082874940584,0.8063,0.8049251598259646,10000.0
Mixed,ResNet50,Pixelate 5,2024-11-04 12:11:12.645199,1949.316257953644,5,0.7868,0.753303050994873,0.8213572854291418,0.823,0.8221778221778222,1000.0,0.931113662456946,0.811,0.8669160876536611,1000.0,0.8542780748663101,0.639,0.7311212814645308,1000.0,0.6290155440414508,0.607,0.6178117048346057,1000.0,0.6914715719063546,0.827,0.7531876138433514,1000.0,0.7225877192982456,0.659,0.6893305439330545,1000.0,0.8356997971602435,0.824,0.8298086606243706,1000.0,0.8031569173630455,0.865,0.8329321136254213,1000.0,0.8646034816247582,0.894,0.8790560471976401,1000.0,0.760132340777502,0.919,0.832050701674966,1000.0,0.7913416394923998,0.7868,0.7854392577029423,10000.0,0.7913416394923998,0.7868,0.7854392577029423,10000.0
Mixed,ResNet50,Saturate 1,2024-11-04 12:11:19.328156,1949.316257953644,5,0.7974,0.7423892021179199,0.771505376344086,0.861,0.8137996219281664,1000.0,0.9239704329461456,0.875,0.8988186954288648,1000.0,0.8374836173001311,0.639,0.7249007373794668,1000.0,0.6466395112016293,0.635,0.6407669021190717,1000.0,0.7633973710819009,0.755,0.7591754650578179,1000.0,0.7473233404710921,0.698,0.7218200620475698,1000.0,0.8039585296889726,0.853,0.8277535177098496,1000.0,0.7790594498669032,0.878,0.8255759285378468,1000.0,0.8593598448108632,0.886,0.8724766125061546,1000.0,0.8514285714285714,0.894,0.8721951219512195,1000.0,0.7984126045140296,0.7973999999999999,0.7957282664666028,10000.0,0.7984126045140296,0.7974,0.7957282664666027,10000.0
Mixed,ResNet50,Saturate 2,2024-11-04 12:11:26.081305,1949.316257953644,5,0.7772,0.8310883641242981,0.7316455696202532,0.867,0.7935926773455378,1000.0,0.9195767195767196,0.869,0.893573264781491,1000.0,0.8278236914600551,0.601,0.6964078794901507,1000.0,0.6003787878787878,0.634,0.6167315175097275,1000.0,0.7596471885336273,0.689,0.7226009438909281,1000.0,0.7251336898395722,0.678,0.7007751937984497,1000.0,0.8168168168168168,0.816,0.816408204102051,1000.0,0.7596830985915493,0.863,0.8080524344569288,1000.0,0.8293612964728313,0.87,0.849194729136164,1000.0,0.8333333333333334,0.885,0.8583899127061106,1000.0,0.7803400192123546,0.7771999999999999,0.7755726757217538,10000.0,0.7803400192123546,0.7772,0.7755726757217538,10000.0
